Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GW-8510-7085	8/100	0.00005041910159	0.20999555812439	-1.59739304912291	2.49300165328475	PLEKHF2;TGIF1;DNAJB1;RBM15;ZNF281;JMJD1C;ZNF217;PPM1D
mitoxantrone-5354	7/100	0.00032783898103	0.45514978532675	-1.60927310904387	1.26670507550778	PLEKHF2;TGIF1;C12ORF35;DNAJB1;ARMCX1;RBM15;ZNF217
doxorubicin-5671	7/100	0.00032783898103	0.45514978532675	-1.60504259886991	1.26337511946786	PLEKHF2;DNAJB1;RBM15;JMJD1C;ZNF217;RBM7;PPM1D
5211181-834	6/100	0.00187512713395	0.4881190320575	-1.683937527755	1.20771323342786	PIGN;DENND4C;SMEK2;SPATA1;TLN1;CPPED1
GW-8510-7062	6/100	0.00187512713395	0.4881190320575	-1.67143492452437	1.19874641659228	TGIF1;C12ORF35;DNAJB1;CHST15;JMJD1C;ZNF217
diclofenamide-3366	6/100	0.00187512713395	0.4881190320575	-1.66912556325018	1.19709015195916	PIGN;TAF13;SSR3;DENND4C;C8ORF60;KIAA0319L
cefadroxil-1323	6/100	0.00187512713395	0.4881190320575	-1.66624163187475	1.19502180795649	GNA13;LMAN1;NNT;IMPAD1;SELT;TMEM14A
benzthiazide-6607	6/100	0.00187512713395	0.4881190320575	-1.65353443568659	1.18590825787327	RAP1GAP2;GNA13;SMEK2;CYBRD1;KIAA0319L;DCBLD2
pentoxyverine-1268	6/100	0.00187512713395	0.4881190320575	-1.64213523874817	1.17773279959999	LMAN1;NRAS;SSR3;JMJD1C;RBM7;RAB8B
fisetin-579	6/100	0.00187512713395	0.4881190320575	-1.63298601642428	1.17117101408597	TGIF1;DNAJB1;PHC2;ZMIZ1;JMJD1C;RBM7
GW-8510-7067	6/100	0.00187512713395	0.4881190320575	-1.6290466951546	1.16834574868883	PLEKHF2;DNAJB1;JMJD1C;ZNF217;RBM7;PPM1D
camptothecin-2321	6/100	0.00187512713395	0.4881190320575	-1.62749268494994	1.16723121880983	PLEKHF2;RBM15;JMJD1C;ZNF217;RBM7;PPM1D
sulpiride-4566	6/100	0.00187512713395	0.4881190320575	-1.61645214291189	1.15931298639099	LMAN1;RIT1;IMPAD1;JMJD1C;SELT;OSBPL11
fludrocortisone-3866	6/100	0.00187512713395	0.4881190320575	-1.61101662399443	1.15541465404851	GNA13;GPR143;PIGN;CBL;FBXO22;DCBLD2
camptothecin-4541	6/100	0.00187512713395	0.4881190320575	-1.60936280286213	1.15422854017298	ZMIZ1;CHST15;JMJD1C;ZNF217;PPM1D;OSBPL11
verteporfin-6133	6/100	0.00187512713395	0.4881190320575	-1.56411861392739	1.121779589537	LMAN1;NOTCH1;KIAA0317;SORL1;HSPA13;IGF2R
