Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MODULE_261	7/101	0.0005855147823	0.08899824690982	-1.95366133971252	4.72617757207078	MGEA5;PRKCI;NRAS;SMEK2;PTPN11;THOC7;RAB8B
MODULE_97	7/99	0.00052313985902	0.08899824690982	-1.94327338787626	4.70104767673512	PRKCI;NRAS;SMEK2;PTPN11;BRAF;THOC7;RAB8B
MODULE_182	7/101	0.0005855147823	0.08899824690982	-1.93121496655012	4.67187668416455	PRKCI;NRAS;SMEK2;PTPN11;BRAF;THOC7;RAB8B
GCM_PTK2	8/145	0.00099585147256	0.11352706787227	-1.9325377904065	4.20464950106544	UBE2H;SNX27;USP32;SAP30L;TP53INP2;ARHGAP26;RTN4;MEGF9
GNF2_CARD15	5/70	0.00320542283868	0.20881040206237	-2.01556388565282	3.15703537113344	CHST15;FOS;RNF130;CPPED1;APOBEC3A
MORF_BECN1	6/101	0.00302851754371	0.20881040206237	-1.95528109866496	3.06261271743049	CHUK;CAPZA2;KRAS;STK19;NT5C2;NUDT3
MORF_MYST2	5/68	0.00284924554057	0.20881040206237	-1.93122390725727	3.02493125035081	RAP1GAP2;FZR1;M6PR;STK19;NUDT3
MODULE_358	5/81	0.00575859413778	0.2917687696476	-1.94755738345929	2.39898886701226	MGEA5;SMEK2;PTPN11;THOC7;RAB8B
MORF_ARAF1	5/78	0.00495524177309	0.28244878106625	-1.88591320221132	2.38428094899387	RAP1GAP2;FZR1;M6PR;STK19;NUDT3
MODULE_239	6/120	0.00672511199041	0.30666510676279	-1.88342551866198	2.22620704999381	CYB5B;SP3;SSR1;SOS1;N4BP2;IGF2R
GNF2_CBFB	3/30	0.0094527559022	0.35636821330008	-2.1308570274994	2.19859862516955	HNRPDL;RBM15;INPP5D
MODULE_15	11/358	0.01029899019588	0.35636821330008	-2.02276443648254	2.08706968684394	ADAM19;FZR1;SCP2;ANGPT1;CLDN9;ZMIZ1;INPP5D;M6PR;SSR1;FOS;NSMAF
MODULE_323	4/61	0.0109411293557	0.35636821330008	-1.99375542963259	2.05713846116585	PLEKHF2;SPAG9;MGEA5;JMJD1C
MODULE_419	3/34	0.01295241404497	0.39375338696698	-2.07177109111109	1.93095381912178	GABARAPL2;SVIL;CAPZA2
GCM_MYST2	7/173	0.01030248610069	0.35636821330008	-1.86309893957583	1.92232829994852	SPAG9;ZMIZ1;CEBPG;VEZF1;FOXO3;PPM1D;FBXO30
GNF2_FOS	3/41	0.02064116307363	0.49538791376701	-1.90942870759968	1.34120976009044	FOS;RNF130;CPPED1
