Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
tolnaftate-4805	11/100	0.00000313036712	0.01635303785382	-1.72486983102896	7.09497882614234	RNF146;NCKAP1;TFDP1;CLDND1;SNX13;MAPK1;PTPN12;SCAMP1;SCYL2;VAMP3;PICALM
zalcitabine-4799	10/100	0.00001909373519	0.03324855755256	-1.68060529887249	5.72035002543619	RNF146;NCKAP1;RAB1A;TFDP1;DDX3X;CLDND1;SCAMP1;SCYL2;VAMP3;PICALM
clomifene-1269	10/100	0.00001909373519	0.03324855755256	-1.65795863292154	5.64326657447035	ERN2;TMEM63A;DDX3X;MAT2A;HNRNPH1;GNAQ;FEZ2;SLC11A2;CBL;SCAMP1
metrizamide-1318	9/100	0.0001066143673	0.0795647792525	-1.67829126530252	4.24806358815692	ERN2;DDX3X;SCD;SLC30A5;PTPN11;CBL;SCAMP1;SOS2;PICALM
letrozole-4824	9/100	0.0001066143673	0.0795647792525	-1.67562331548473	4.24131051691697	TFDP1;DDX3X;TBL1XR1;KRAS;SCAMP1;SOS2;SCYL2;VAMP3;PICALM
nordihydroguaiaretic acid-415	9/100	0.0001066143673	0.0795647792525	-1.67018399862773	4.22754260644612	EML4;KIAA1109;DHX9;TMOD3;NF1;PCSK7;TBL1X;IGF1;SCAMP1
estradiol-782	9/100	0.0001066143673	0.0795647792525	-1.63818492574154	4.14654707295741	ARF3;DHX9;FEM1B;KIDINS220;SCD;NBR1;PTPN11;IQGAP1;MAP3K7
LY-294002-6987	8/100	0.0005401645846	0.16598939940804	-1.69699900141687	3.04752401046719	TMEM63A;GSTA4;SH3BP2;SIK3;NF2;KLHL24;RIN2;SORL1
clorsulon-7025	8/100	0.0005401645846	0.16598939940804	-1.67602264146115	3.00985400561516	ELK4;ERN2;WEE1;KIDINS220;SH3BP2;PCSK7;NF2;SOX4
meropenem-7180	8/100	0.0005401645846	0.16598939940804	-1.6754016053872	3.00873872956305	TMEM63A;HP1BP3;SH3BP2;NF1;MTSS1L;ANKFY1;PTPN11;NKTR
alverine-2110	8/100	0.0005401645846	0.16598939940804	-1.66812767586424	2.99567597887601	TGFBRAP1;SEL1L;KIAA1033;TRIM25;TCF4;SCAMP1;SCYL2;NKTR
aciclovir-1960	8/100	0.0005401645846	0.16598939940804	-1.66787006584279	2.99521335472299	MBNL1;CLIP1;PHLDB1;TFDP1;GNAQ;CANX;CD302;PICALM
epirizole-1803	8/100	0.0005401645846	0.16598939940804	-1.66578239110298	2.99146424297318	EML4;NCKAP1;MBNL1;DDX3X;MAT2A;LIMK2;PTPN11;WDFY3
terguride-6299	8/100	0.0005401645846	0.16598939940804	-1.66170929863202	2.98414965581565	ERN2;PHLDB1;DDX3X;BCL11A;SEL1L;CBL;SCAMP1;DCAF7
