Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of small GTPase mediated signal transduction (GO:0051057)	6/35	0.00004226729811	0.0282407127869	-2.40727088439642	8.58671267971809	MAP2K1;KRAS;IGF1;SOS1;SOS2;HRAS
endocytosis (GO:0006897)	17/323	0.00003093347448	0.0282407127869	-2.35393428831495	8.39646154145427	RAB1A;CLTC;HTR2B;APOBR;SCAMP1;SORL1;C9ORF72;IGF2R;MYO6;CANX;MAPK1;CD302;RIN1;RIN2;HRAS;SCYL2;PICALM
small GTPase mediated signal transduction (GO:0007264)	20/439	0.00004431653635	0.0282407127869	-2.34174312772656	8.3529757859112	ARF3;NCKAP1;RAB1A;MAP2K1;ROCK1;BRAF;IQGAP1;IGF1;RHOA;RIT1;GNB1;NF1;RAB18;MAPK1;KRAS;RAB17;SOS1;RIN2;SOS2;HRAS
Ras protein signal transduction (GO:0007265)	12/148	0.00000932667458	0.02377369350863	-2.16127355126082	8.08138138048965	NCKAP1;RIT1;MAP2K1;ROCK1;GNB1;NF1;MAPK1;KRAS;IGF1;SOS1;HRAS;RHOA
regulation of neuron death (GO:1901214)	13/225	0.00011205614756	0.04609416888666	-2.47195930870656	7.60638892632659	SRPK2;ROCK1;BRAF;SORL1;RHOA;RASA1;BAG1;NF1;ZNF746;KRAS;PPARA;HRAS;PICALM
posttranscriptional regulation of gene expression (GO:0010608)	19/438	0.00012787784593	0.04609416888666	-2.45379343845202	7.55049129328119	EIF4A2;PPP1R15B;NCKAP1;CNOT6L;DDX3X;UBE2B;DHX9;RHOA;GNAQ;BCL3;MAPK1;MDM4;NF2;SELT;CNOT8;EIF4G3;RBM10;SOX4;TNRC6B
organ morphogenesis (GO:0009887)	18/405	0.00014466588901	0.04609416888666	-2.34661296019578	7.22068958495404	NCKAP1;ERRFI1;SMARCC1;BCL11B;CUL1;HTR2B;BRAF;FOXL1;PTK2;PRKRA;KAT6A;ASXL2;NF1;MAPK1;NF2;HRAS;SOX4;PAFAH1B1
myeloid cell development (GO:0061515)	5/32	0.00027751017956	0.06430667706252	-2.501457383566	6.86422872128082	ANXA2;SLC11A2;ARID4A;PTPN11;PAFAH1B1
neurotrophin TRK receptor signaling pathway (GO:0048011)	14/274	0.00020924061058	0.05926159070688	-2.41224805012073	6.81651581169839	MAP2K1;KIDINS220;PTPN11;BRAF;PIK3CB;RHOA;DUSP6;RIT1;MAPK1;KRAS;SOS1;SOS2;HRAS;TNRC6B
neurotrophin signaling pathway (GO:0038179)	14/278	0.00024110984491	0.06145889946842	-2.40935634030517	6.72062635992456	MAP2K1;KIDINS220;PTPN11;BRAF;PIK3CB;RHOA;DUSP6;RIT1;MAPK1;KRAS;SOS1;SOS2;HRAS;TNRC6B
