Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
regulation of actin cytoskeleton	17/201	0.00000017032531	0.00001103419775	-2.06952395545149	23.62260441308594	NCKAP1;MAP2K1;PPP1R12A;ROCK1;LIMK2;BRAF;IQGAP1;PIK3CB;RHOA;PTK2;DIAPH2;BDKRB2;MAPK1;KRAS;SOS1;SOS2;HRAS
chronic myeloid leukemia	11/75	0.00000025365972	0.00001103419775	-2.01591021694886	23.01062979331021	MAP2K1;SMAD4;MAPK1;PTPN11;BRAF;KRAS;PIK3CB;CBL;SOS1;SOS2;HRAS
glioma	9/62	0.00000374086394	0.00008136379075	-1.89439994996073	17.83876908805465	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;IGF1;SOS1;SOS2;HRAS
erbb signaling pathway	10/85	0.00000579317312	0.00010033685132	-1.78791156075566	16.46126154670996	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;CBL;SOS1;SOS2;HRAS;PTK2
dorso ventral axis formation	7/28	0.00000210111587	0.00006093236017	-1.63240980598045	15.84375520390908	MAP2K1;MAPK1;BRAF;KRAS;SOS1;SOS2;ETS2
renal cell carcinoma	9/69	0.00000828238449	0.00010033685132	-1.67965470085874	15.46454307130869	MAP2K1;MAPK1;PTPN11;BRAF;KRAS;PIK3CB;SOS1;SOS2;HRAS
endometrial cancer	8/52	0.00000922637713	0.00010033685132	-1.5618698262243	14.38010037841365	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;SOS1;SOS2;HRAS
non small cell lung cancer	8/53	0.00001046721175	0.00010118304696	-1.46893672976448	13.5121310472704	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;SOS1;SOS2;HRAS
acute myeloid leukemia	8/52	0.00000922637713	0.00010033685132	-1.44675504831184	13.32024120601285	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;SOS1;SOS2;HRAS
colorectal cancer	9/84	0.00003519651486	0.00030620967928	-1.43814560895328	11.63638194466948	MAP2K1;SMAD4;MAPK1;BRAF;KRAS;PIK3CB;SOS1;SOS2;APPL1
focal adhesion	13/192	0.00005738635673	0.0004160510863	-1.46764425850407	11.42517393069023	MAP2K1;PPP1R12A;ROCK1;LAMC3;BRAF;PIK3CB;IGF1;RHOA;PTK2;MAPK1;SOS1;SOS2;HRAS
prostate cancer	9/86	0.00004177527146	0.00033040441972	-1.42035047463939	11.38438338006992	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;IGF1;SOS1;SOS2;HRAS
mapk signaling pathway	14/248	0.00018595475223	0.00107853756292	-1.28365978881342	8.77015528122564	MAP2K1;BRAF;ECSIT;DUSP6;ELK4;CACNB3;RASA1;NF1;MAPK1;KRAS;SOS1;MAP3K7;SOS2;HRAS
long term depression	8/73	0.00008571167996	0.0005736089351	-1.10555560849386	8.25138359301527	MAP2K1;GNAQ;MAPK1;BRAF;KRAS;PPP2R2A;IGF1;HRAS
natural killer cell mediated cytotoxicity	10/129	0.00016217444491	0.00100779833622	-1.19396461227449	8.23834053314002	MAP2K1;SH3BP2;MAPK1;PTPN11;BRAF;KRAS;PIK3CB;SOS1;SOS2;HRAS
gap junction	8/90	0.0003282655778	0.00158661695935	-0.91120169049864	5.8737438961977	MAP2K1;GNAQ;HTR2B;MAPK1;KRAS;SOS1;SOS2;HRAS
long term potentiation	7/67	0.00032117909252	0.00158661695935	-0.75021401015581	4.83599296285688	MAP2K1;PPP1R12A;GNAQ;MAPK1;BRAF;KRAS;HRAS
fc epsilon ri signaling pathway	7/74	0.00056130873208	0.00244169298453	-0.76101804782015	4.57757198438131	MAP2K1;MAPK1;KRAS;PIK3CB;SOS1;SOS2;HRAS
melanoma	7/71	0.00044521820278	0.00203863071797	-0.71993418073337	4.46033559573821	MAP2K1;MAPK1;BRAF;KRAS;PIK3CB;IGF1;HRAS
gnrh signaling pathway	7/96	0.00233356871708	0.00882697732114	-0.59380242281354	2.80865140071171	MAP2K1;GNAQ;MAPK1;KRAS;SOS1;SOS2;HRAS
axon guidance	8/126	0.00258814813074	0.00938203697392	-0.50323158711978	2.34956733482827	ROCK1;LIMK2;RASA1;MAPK1;KRAS;HRAS;RHOA;PTK2
vegf signaling pathway	6/68	0.0019829210125	0.00784155127671	-0.45886891092276	2.22474267453368	MAP2K1;MAPK1;KRAS;PIK3CB;HRAS;PTK2
pancreatic cancer	6/73	0.00277161025196	0.00964520367683	-0.36189019468449	1.6796389758019	MAP2K1;SMAD4;MAPK1;BRAF;KRAS;PIK3CB
melanogenesis	5/100	0.04016045812219	0.12478428059396	-0.27420696145555	0.57067096956757	MAP2K1;GNAQ;MAPK1;KRAS;HRAS
