Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GCM_MAP4K4	11/171	0.0004535528893	0.11747019832859	-2.01715096044833	4.31987121043666	KIAA1109;TMEM30A;CLDND1;KIDINS220;CEP350;SIK3;ANKFY1;FBXO21;ADO;TTL;PTK2
MORF_TERF2IP	9/112	0.00033372687556	0.11747019832859	-1.99768128845096	4.27817553312384	EIF4A2;RAB1A;ROCK1;PRKRA;UBE2D3;CANX;KRAS;PHB;SLC25A36
GCM_CALM1	8/109	0.00123954138199	0.21402747862343	-1.97384570970865	3.04298095052776	NCKAP1;TMEM30A;GSTA4;KIDINS220;SIK3;FBXO21;ADO;TTL
GCM_RAP2A	4/34	0.00470247501425	0.31437489173803	-2.3965087475646	2.77316582862318	TMEM30A;KIDINS220;CEP350;ADO
MODULE_239	8/120	0.00219786685849	0.2846237581739	-1.94429746361711	2.44317914562805	MBNL1;SYPL1;DHX9;TMOD3;ASXL2;SOS1;SLC38A2;IGF2R
MODULE_323	5/61	0.00667591468942	0.31437489173803	-2.04177784771044	2.36268219870445	RAB1A;FNDC3B;JMJD1C;CDYL;PHF17
MODULE_277	5/55	0.00444866307603	0.31437489173803	-2.04012502318173	2.36076960126103	MBNL1;FUBP3;FEM1B;MAPK1;SCYL2
GCM_RAN	10/197	0.00429956601294	0.31437489173803	-1.98367040316243	2.2954420604104	KIAA1109;TMEM30A;CHD9;KIDINS220;SIK3;NF2;FBXO21;ADO;TTL;PTK2
GCM_RAB10	9/176	0.00634786385089	0.31437489173803	-1.98216788500808	2.29370339285628	NCKAP1;TMEM30A;KIDINS220;CEP350;SEL1L;ANKFY1;FBXO45;FBXO21;ADO
GCM_BMPR2	6/84	0.00567902832071	0.31437489173803	-1.97254813064794	2.28257171052948	NCKAP1;TMEM30A;GSTA4;KIDINS220;FBXO21;ADO
GCM_PTK2	8/145	0.00650372600682	0.31437489173803	-1.87559129975375	2.17037626348152	KIAA1109;TMEM30A;CLDND1;KIDINS220;SIK3;FBXO21;TTL;PTK2
MODULE_86	4/43	0.0100235360638	0.36773877991055	-2.11098628649759	2.11179359112354	RAB1A;RIT1;KRAS;HRAS
