Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
cefadroxil-1323	22/100	0.00000127465396	0.00773842418028	-1.67060224875568	8.12172840144548	ATP8B4;SAMD9;ITGA2;HP1BP3;YIPF5;RNF146;EML4;PPP3R1;EIF2S3;TBL1XR1;CAPRIN1;PGM3;TRIM25;B3GNT2;ANKFY1;EXOC5;AIDA;SELT;RNF141;YAF2;APPL2;GABPA
sulpiride-4566	21/100	0.0000041987439	0.0084968580691	-1.63170652622617	7.78007269850882	USP6NL;CASP8AP2;SGMS1;SLC2A10;TMOD3;WRB;JMJD1C;ARID4A;SGPP1;EML4;RIT1;PRKRA;TAF1A;PGM3;ANKFY1;ADNP;EXOC5;AIDA;SELT;SCYL2;GABPA
16-phenyltetranorprostaglandin E2-7509	21/100	0.0000041987439	0.0084968580691	-1.6300166422708	7.77201523240602	PSMD10;PRKAB2;CLDND1;BCL11B;SGMS1;INSIG2;ITGA2;FZD6;YIPF5;ZDHHC13;PCMTD2;TBL1XR1;RP2;TAF1A;CD302;EXOC5;LCP1;AIDA;SELT;MAP4K3;ZNF124
domperidone-2655	19/100	0.00004051216128	0.03074366639074	-1.68296894116017	5.86021781005908	CLDND1;HP1BP3;YIPF5;ARID4A;ARRB1;KLF3;SGPP1;EIF2S3;TBL1XR1;CAPRIN1;PERP;CDK3;TAF1A;CDC37L1;AIDA;SELT;SCYL2;APPL2;GABPA
valproic acid-1647	19/100	0.00004051216128	0.03074366639074	-1.66747086173688	5.80625239285092	GTF3C3;SLC2A10;FZD6;YIPF5;GPATCH2;FNDC3B;C1ORF56;NPL;SGPP1;EIF2S3;TBL1XR1;B3GNT2;CEPT1;EXOC5;AIDA;METTL8;SELT;SCYL2;GABPA
fulvestrant-985	19/100	0.00004051216128	0.03074366639074	-1.64771650355951	5.73746630964638	ZNF331;MED1;MYLIP;ANKRD11;ZNF281;CMTM6;FNDC3B;C1ORF56;ZNF12;SYNJ2BP;SMAD5;UGCG;DCAF16;MYC;SLC16A7;METTL8;ZNF148;ZNF652;ZNF124
amantadine-1344	19/100	0.00004051216128	0.03074366639074	-1.63217099304493	5.6833357339976	CLDND1;SMEK1;SGMS1;SAMD9;ITGA2;HP1BP3;YIPF5;PJA2;RNF146;EML4;EIF2S3;WDR60;PGM3;TRIM25;B3GNT2;EXOC5;AIDA;SCYL2;ZNF124
cephaeline-4651	19/100	0.00004051216128	0.03074366639074	-1.6249098075339	5.65805176849284	DENND1B;TMEM30A;PTPRS;ITGA2;FAM69A;CMTM6;ZBTB44;PTPLB;EML4;MFSD6;MAT2A;TBL1XR1;SCD;ANKFY1;ZBED1;CD302;EXOC5;TBC1D12;AIDA
nocodazole-6793	18/100	0.00011819070492	0.05519505919722	-1.64935556779714	4.77798818710926	SLC6A14;ARID4A;BRAF;TRMT2B;SGPP1;RNF146;EML4;DTWD1;EIF2S3;TRIM5;TRIM13;CDC37L1;FBXO3;ANKFY1;EXOC5;MPHOSPH8;SCYL2;ZNF652
ginkgolide A-4121	18/100	0.00011819070492	0.05519505919722	-1.6466286603695	4.77008865851096	MST4;C14ORF118;CLDND1;EPHX2;HP1BP3;YIPF5;DIXDC1;SGPP1;RNF146;EIF2S3;PRKRA;PDCD10;MICAL1;LRIG1;B3GNT2;EXOC5;AIDA;SCYL2
canavanine-4782	18/100	0.00011819070492	0.05519505919722	-1.64336425916253	4.76063207394578	CASP8AP2;PRKAA1;BCL11B;INSIG2;ITGA2;THAP1;ATAD2B;PCMTD2;ERN2;RP2;TAF1A;DSG2;AIDA;SELT;YAF2;MAP4K3;ZNF652;BET1
chlorpropamide-3210	18/100	0.00011819070492	0.05519505919722	-1.63795616403587	4.74496546140058	CLDND1;SAMD9;YIPF5;NPL;F3;SGPP1;RNF146;EIF2S3;TBL1XR1;CDK3;NIPAL2;PGM3;B3GNT2;ANKFY1;CAMK1;EXOC5;SCYL2;GABPA
captopril-4585	18/100	0.00011819070492	0.05519505919722	-1.59881686829992	4.63158354647008	MED1;CCNI;ANKRD11;ITGA2;TGFBRAP1;FNDC3B;THOC2;ZNF12;SYNJ2BP;DCBLD2;UGCG;DCAF16;MAN2A1;TIPRL;METTL8;ZNF148;SCYL2;ZNF652
amiloride-1890	17/100	0.00032971178008	0.11120445649305	-1.66043025708057	3.64694381396446	SLC22A4;TSSC4;CLDND1;SLC2A10;QTRTD1;GMCL1;PIGB;CTSO;SPSB1;ACAP2;FUBP3;CHORDC1;ZKSCAN3;FBXO3;ACADM;EXOC5;ARGLU1
dorzolamide-6142	17/100	0.00032971178008	0.11120445649305	-1.65655277761812	3.63842737692711	RHBDF1;SNRPN;TGFBRAP1;YIPF5;ARRB1;CBL;EML4;PDPR;EIF2S3;TWISTNB;KIAA1731;TRIM25;ANKFY1;MDM4;EXOC5;SYNC;SCYL2
