Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GCM_BMPR2	19/84	0.00003354259107	0.01062707680079	-2.04479933322706	9.29228409464766	NCKAP1;DYNC1H1;GSK3B;CSRNP2;TMEM30A;BMPR2;KIDINS220;USP33;EPT1;FBXO21;CLCN3;ADO;MTMR4;RTN4;PJA2;MFSD8;NFIA;GSTA4;APPBP2
GCM_RBM8A	19/81	0.00002176047751	0.01062707680079	-2.00797193807513	9.12492751708195	GSK3B;ISCA1;CSRNP2;KIDINS220;ZNF292;BAZ2A;VEZF1;VASH1;ADO;MLL;DCAF7;MED13;GSTA4;ZBED1;EXOC5;ZNF512;SYNC;PKNOX1;ASB3
GCM_MAP4K4	29/171	0.00004228279894	0.01062707680079	-2.00773186949165	9.12383656138587	ANKRD17;GLTP;BMPR2;CLDND1;FBXO21;CLCN3;ADO;MTMR4;TTL;RTN4;IPO5;AGPAT4;MFSD8;KIAA1109;ANKFY1;DYNC1H1;UBE2H;TMEM30A;KIDINS220;CEP350;EPT1;MTUS1;PTK2;FMNL2;PACS2;APPBP2;OCIAD1;SIK3;RNF141
MODULE_277	14/55	0.00012436983598	0.01652252268981	-2.0571416854649	8.4405157311243	ANKRD17;MBNL1;FEM1B;CSNK1A1;LTN1;PRPF4B;SMC5;THOC2;ANKRD20A1;SMAD5;FUBP3;MAPK1;PAK2;SCYL2
GCM_CRKL	15/64	0.00015834128948	0.01705561889512	-2.07197873939524	8.43559643481593	ANKRD17;DYNC1H1;GSK3B;UBE2H;TMEM30A;BMPR2;EPT1;ADO;MTMR4;RTN4;IPO5;ALKBH5;PACS2;OCIAD1;ANKFY1
GCM_MLL	28/173	0.00011654573863	0.01652252268981	-2.0233761629401	8.30197475164101	RBM25;ISCA1;CSRNP2;NUMA1;CHD9;GFM2;USP33;ZNF292;BAZ2A;HNRNPR;MTMR4;MLL;IPO5;DHX36;ZBED1;ZNF644;TNPO1;PKNOX1;TBC1D22B;CREB1;PACS2;PRKRA;HGS;OCIAD1;NF2;EXOC5;ZNF512;ASB3
MODULE_239	22/120	0.0001314789604	0.01652252268981	-1.92400681529873	7.8942592559682	ITGB1;DYNC1H1;MBNL1;TMED10;DHX9;TMOD3;RHOBTB3;AP3B1;C1ORF43;PIK3R1;IGF2R;TBC1D1;GIGYF1;SYPL1;ASXL2;TMED2;B3GNT2;TNPO1;SOS1;SF3B1;ADSS;SLC38A2
MODULE_36	26/162	0.00022734143775	0.01974208209995	-1.92743844935559	7.56520126111155	PHF3;ISCA1;CSRNP2;TM2D1;CBL;ARPP19;HSPA13;NIPBL;PLAGL2;RBM12;ATP6V1C1;SPEN;NCOA2;MED1;TTC37;EED;KRR1;PDE4D;ATP6AP2;ATP2B4;POLRMT;PPM1A;RCN2;ANP32E;SRSF3;CDS2
GCM_CALM1	20/109	0.00025963831937	0.01974208209995	-1.91055733233633	7.49894282997679	ANKRD17;NCKAP1;DYNC1H1;GSK3B;CSRNP2;TMEM30A;BMPR2;KIDINS220;USP33;EPT1;FBXO21;CLCN3;ADO;MTMR4;TTL;RTN4;PJA2;GSTA4;APPBP2;SIK3
GCM_NF2	39/301	0.0004229503697	0.02453112144286	-2.00990323114068	7.45234473535767	ISCA1;CSRNP2;NUMA1;CHD9;GFM2;USP33;ZNF292;BAZ2A;HNRNPR;MTMR4;MLL;MLLT4;SMG5;RTN4;IPO5;MFSD8;ALKBH5;ZBED1;ZNF644;TNPO1;TBC1D22B;MBD3;URGCP;OSBPL2;EPT1;ZNF12;PJA2;PACS2;APPBP2;PRKRA;HGS;OCIAD1;YME1L1;NF2;ZNF512;ASB3;SIDT2;SEC22C;DKFZP586I1420
GCM_RAB10	27/176	0.00033042031668	0.02264881079816	-1.96357914126449	7.43734647338273	ANKRD17;NCKAP1;USP33;SEL1L;FBXO45;FBXO21;CLCN3;ADO;MFSD8;UBR5;ANKFY1;ZNF644;TMED7;C5ORF42;EDEM3;PRKAB2;UBE2H;TMEM30A;YTHDF3;KIDINS220;CEP350;OSBPL2;PRRC2C;DICER1;OCIAD1;TAB2;ZNF512
