Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
chronic myeloid leukemia	11/75	0.0000000066292	0.00000048393185	-2.08379498944535	30.30113337480964	NRAS;MAP2K2;CHUK;PTPN11;BRAF;KRAS;GAB2;RAF1;CBL;SOS1;SOS2
acute myeloid leukemia	8/52	0.00000069462859	0.00001444792555	-1.95478348922071	21.78598323782461	NRAS;MAP2K2;CHUK;BRAF;KRAS;RAF1;SOS1;SOS2
endometrial cancer	8/52	0.00000069462859	0.00001444792555	-1.90850740724483	21.2702381684612	NRAS;MAP2K2;BRAF;KRAS;RAF1;FOXO3;SOS1;SOS2
non small cell lung cancer	8/53	0.00000079166715	0.00001444792555	-1.89806616704455	21.15387096706023	NRAS;MAP2K2;BRAF;KRAS;RAF1;FOXO3;SOS1;SOS2
renal cell carcinoma	8/69	0.00000483383247	0.00005881162838	-1.67965470085874	16.36180359669329	NRAS;MAP2K2;PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2
fc epsilon ri signaling pathway	8/74	0.00000779471506	0.00007112677488	-1.59185082999997	15.20384163488887	NRAS;MAP2K2;INPP5D;KRAS;GAB2;RAF1;SOS1;SOS2
long term depression	8/73	0.00000710379767	0.00007112677488	-1.51409155458235	14.46115916313165	GNA13;NRAS;MAP2K2;GNAQ;BRAF;KRAS;PPP2R2A;RAF1
dorso ventral axis formation	6/28	0.0000035989271	0.00005254433565	-1.3687602222221	13.48756237259335	NOTCH1;BRAF;KRAS;RAF1;SOS1;SOS2
erbb signaling pathway	8/85	0.00001998695151	0.00015686330765	-1.52865308285594	13.39120857208167	NRAS;MAP2K2;BRAF;KRAS;RAF1;CBL;SOS1;SOS2
prostate cancer	8/86	0.00002163211099	0.00015686330765	-1.48411406661273	13.00104074211607	NRAS;MAP2K2;CHUK;BRAF;KRAS;RAF1;SOS1;SOS2
glioma	7/62	0.00002363693677	0.00015686330765	-1.32993095251346	11.65037572704347	NRAS;MAP2K2;BRAF;KRAS;RAF1;SOS1;SOS2
mapk signaling pathway	12/248	0.0000836528976	0.00050888846041	-1.47319138460266	11.17162526771177	NRAS;MAP2K2;CHUK;NF1;RAPGEF2;BRAF;KRAS;FOS;RAF1;SOS1;SOS2;MAP3K5
