Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
Prestwick-665-4704	3/100	0.01070221663896	0.35110528040379	-1.6938198799918	1.77286902474939	KIAA0754;SPRY2;CAMK1
chlorcyclizine-6053	3/100	0.01070221663896	0.35110528040379	-1.69108945032005	1.77001116822847	KIAA0754;TAOK1;CBL
promazine-3833	4/100	0.00113282368863	0.35110528040379	-1.68520293255873	1.76384993164956	KLHL28;SPRY2;STRN;CBL
alpha-ergocryptine-4374	3/100	0.01070221663896	0.35110528040379	-1.68458241667606	1.76320045681417	TAOK1;CAMK1;CBL
nifurtimox-2908	3/100	0.01070221663896	0.35110528040379	-1.67530834658131	1.75349357369244	KIAA0754;BRAF;EVL
benzbromarone-1291	4/100	0.00113282368863	0.35110528040379	-1.67218124242946	1.7502205302281	FHOD1;TAOK1;BRAF;EVL
genistein-5232	3/100	0.01070221663896	0.35110528040379	-1.67215964589551	1.75019792580212	KLHL28;FNTB;STRN
trifluoperazine-5442	3/100	0.01070221663896	0.35110528040379	-1.66963229037197	1.74755262072858	KIAA0754;CCNE2;TAOK1
metoprolol-6846	3/100	0.01070221663896	0.35110528040379	-1.66849244590615	1.74635958068321	TAOK1;CAMK1;CBL
meclocycline-3277	3/100	0.01070221663896	0.35110528040379	-1.66746044052664	1.74527941248332	TAOK1;SPRY2;STRN
pinacidil-5456	3/100	0.01070221663896	0.35110528040379	-1.65466395708872	1.73188572795949	KIAA0754;TAOK1;KLHL28
cefadroxil-1323	3/100	0.01070221663896	0.35110528040379	-1.65424993545219	1.73145238428248	AGPS;AIDA;SELT
helveticoside-4327	3/100	0.01070221663896	0.35110528040379	-1.65419144208125	1.73139116107527	KIAA0754;FHOD1;TAOK1
pindolol-4496	3/100	0.01070221663896	0.35110528040379	-1.653385046632	1.73054713183074	TAOK1;STRN;CBL
etidronic acid-4387	3/100	0.01070221663896	0.35110528040379	-1.65265485723839	1.72978286511418	KIAA0754;CAMK1;CBL
bethanechol-5114	2/100	0.07571934906247	0.35110528040379	-1.65187142373522	1.72896286943039	TAOK1;CBL
PHA-00851261E-3773	3/100	0.01070221663896	0.35110528040379	-1.65136986715352	1.72843790562617	KLHL28;STRN;CBL
citiolone-2176	3/100	0.01070221663896	0.35110528040379	-1.65097108946619	1.72802051732061	KIAA0754;KLHL28;STRN
sulfamerazine-4740	3/100	0.01070221663896	0.35110528040379	-1.64624289099016	1.72307165781079	BRAF;STRN;CAMK1
gelsemine-2817	3/100	0.01070221663896	0.35110528040379	-1.64607927943997	1.72290041064759	TAOK1;STRN;CBL
puromycin-6711	3/100	0.01070221663896	0.35110528040379	-1.64289753283032	1.71957017460804	CCNE2;FNTB;CAMK1
deferoxamine-3842	4/100	0.00113282368863	0.35110528040379	-1.64186749413727	1.71849206487821	TAOK1;STRN;CAMK1;CBL
nifenazone-2285	2/100	0.07571934906247	0.35110528040379	-1.64172486955602	1.71834278412808	STRN;CBL
metampicillin-2286	2/100	0.07571934906247	0.35110528040379	-1.64103101170184	1.71761654451325	STRN;CBL
tanespimycin-6978	3/100	0.01070221663896	0.35110528040379	-1.64068685603892	1.71725632739589	CCNE2;FHOD1;EVL
ketotifen-3200	3/100	0.01070221663896	0.35110528040379	-1.63974525567472	1.7162707833371	LRRTM2;SPRY2;BRAF
indometacin-5049	3/100	0.01070221663896	0.35110528040379	-1.63896975802096	1.71545909386211	KIAA0754;KLHL28;STRN
Prestwick-682-4984	3/100	0.01070221663896	0.35110528040379	-1.6372440430492	1.71365284122857	KIAA0754;TAOK1;CBL
iocetamic acid-4425	3/100	0.01070221663896	0.35110528040379	-1.63675871432299	1.71314486262017	KIAA0754;TAOK1;CBL
proguanil-5506	3/100	0.01070221663896	0.35110528040379	-1.63590751447525	1.71225393799367	C15ORF29;FHOD1;BRAF
guaifenesin-4371	2/100	0.07571934906247	0.35110528040379	-1.63463265844842	1.71091958551164	KIAA0754;LRRTM2
valproic acid-5219	2/100	0.07571934906247	0.35110528040379	-1.63445404107713	1.71073263221833	TAOK1;SPRY2
genistein-5595	3/100	0.01070221663896	0.35110528040379	-1.63361848283942	1.70985807918261	TAOK1;LRRTM2;SPRY2
chlortalidone-7152	3/100	0.01070221663896	0.35110528040379	-1.63355238183091	1.7097888932958	C15ORF29;BRAF;CBL
orciprenaline-4831	3/100	0.01070221663896	0.35110528040379	-1.63343167093387	1.70966254892305	KIAA0754;TAOK1;KLHL28
sulpiride-4566	4/100	0.00113282368863	0.35110528040379	-1.63170652622617	1.7078568931673	RIT1;RRN3;AIDA;SELT
