Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
prostate cancer	8/86	0.00000027477808	0.00001428846014	-2.05798639437287	22.95901625754823	CCNE2;CREB3L3;PDPK1;BRAF;KRAS;RAF1;SOS1;SOS2
chronic myeloid leukemia	7/75	0.00000170277009	0.00003232082761	-2.01591021694886	20.84410587665391	PTPN11;BRAF;KRAS;RAF1;CBL;SOS1;SOS2
endometrial cancer	6/52	0.00000336754425	0.00003232082761	-1.90850740724483	19.73358244257499	PDPK1;BRAF;KRAS;RAF1;SOS1;SOS2
erbb signaling pathway	7/85	0.00000372831885	0.00003232082761	-1.78791156075566	18.48664566365947	BRAF;KRAS;RAF1;MAP2K7;CBL;SOS1;SOS2
non small cell lung cancer	6/53	0.00000372932626	0.00003232082761	-1.72641439213252	17.85077731837413	PDPK1;BRAF;KRAS;RAF1;SOS1;SOS2
natural killer cell mediated cytotoxicity	8/129	0.00000497845929	0.00003698284045	-1.62481497861642	16.58132869856688	IFNAR2;PPP3CA;PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2
dorso ventral axis formation	5/28	0.00000355693729	0.00003232082761	-1.50058501410128	15.51574700493754	BRAF;KRAS;RAF1;SOS1;SOS2
jak stat signaling pathway	8/148	0.00001312649881	0.00008532224228	-1.53657060472053	14.39624582829096	IFNAR2;SPRED1;SPRY2;PTPN11;CBL;SOS1;SOS2;SOCS5
renal cell carcinoma	6/69	0.00001533402249	0.00008859657439	-1.45807667162056	13.60592197288806	PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2
mapk signaling pathway	9/248	0.00007313343122	0.00034572167488	-1.53636858319908	12.2446678888337	PPP3CA;TAOK1;NF1;BRAF;KRAS;RAF1;MAP2K7;SOS1;SOS2
acute myeloid leukemia	5/52	0.00005531211219	0.00028762298338	-1.27741223467556	10.41584055055787	BRAF;KRAS;RAF1;SOS1;SOS2
glioma	5/62	0.00012103682315	0.00052449290033	-1.24929252430671	9.43600471329619	BRAF;KRAS;RAF1;SOS1;SOS2
fc epsilon ri signaling pathway	5/74	0.00026515660579	0.00106062642316	-1.24567050409171	8.53146720981789	KRAS;RAF1;MAP2K7;SOS1;SOS2
colorectal cancer	5/84	0.00046327176208	0.00172072368771	-1.1724593273817	7.46271572792066	BRAF;KRAS;RAF1;SOS1;SOS2
gnrh signaling pathway	5/96	0.00082984850128	0.00287680813777	-1.09894883569064	6.43003083338602	KRAS;RAF1;MAP2K7;SOS1;SOS2
long term potentiation	4/67	0.00181653200292	0.00590372900949	-0.82442604497505	4.23109551568974	PPP3CA;BRAF;KRAS;RAF1
gap junction	4/90	0.00505445894092	0.01460177027377	-0.91120169049864	3.85129646054106	KRAS;RAF1;SOS1;SOS2
focal adhesion	5/192	0.01481936066144	0.03853033771974	-0.95062907600415	3.09554235358513	PDPK1;BRAF;RAF1;SOS1;SOS2
regulation of actin cytoskeleton	5/201	0.01770625718562	0.03943620646969	-0.7163286035126	2.31594119059001	BRAF;KRAS;RAF1;SOS1;SOS2
epithelial cell signaling in helicobacter pylori infection	3/65	0.01407395723293	0.03851819874274	-0.569444865269	1.8544680738706	ADAM17;PTPN11;F11R
vegf signaling pathway	3/68	0.0158090148251	0.03914613194786	-0.53473806641482	1.73279392565694	PPP3CA;KRAS;RAF1
melanoma	3/71	0.01766040805791	0.03943620646969	-0.50915059012598	1.64611997636811	BRAF;KRAS;RAF1
bladder cancer	3/40	0.00393399725287	0.01203340336171	-0.34293467880365	1.51579490261152	BRAF;KRAS;RAF1
pancreatic cancer	3/73	0.01895971464889	0.03943620646969	-0.43195299123414	1.39653466285199	BRAF;KRAS;RAF1
long term depression	3/73	0.01895971464889	0.03943620646969	-0.28848371631687	0.93268831951785	BRAF;KRAS;RAF1
melanogenesis	3/100	0.04162979039117	0.07731246786931	-0.27420696145555	0.70194241281156	CREB3L3;KRAS;RAF1
neuroactive ligand receptor interaction	1/238	0.84682711816533	0.85762160713847	0.97526801276631	-0.14979365143536	TSHR
cytokine cytokine receptor interaction	1/247	0.85762160713847	0.85762160713847	1.0165827525073	-0.156139277092	IFNAR2
calcium signaling pathway	1/169	0.73338546049039	0.76272087891	0.98382449016469	-0.26648178588262	PPP3CA
toll like receptor signaling pathway	2/99	0.17715510038732	0.26320186343259	0.20490543202636	-0.27351473738073	IFNAR2;MAP2K7
cell cycle	2/104	0.1908766106145	0.27571065977651	0.28235272875773	-0.36378418673161	WEE1;CCNE2
leukocyte transendothelial migration	2/110	0.20754045196128	0.28400272373649	0.32543454359288	-0.40964771239838	PTPN11;F11R
b cell receptor signaling pathway	2/62	0.08368707388064	0.1500595807515	0.23377295533018	-0.44340250813018	PPP3CA;KRAS
axon guidance	2/126	0.25267984367558	0.32453241476922	0.46683382298842	-0.52536071233738	PPP3CA;KRAS
tight junction	2/131	0.26690043112206	0.32453241476922	0.54718229903551	-0.61578246528815	KRAS;F11R
cell adhesion molecules	2/133	0.27259415216081	0.32453241476922	0.613836395914	-0.69079297672052	CADM1;F11R
small cell lung cancer	1/85	0.48377863135265	0.51339773123138	1.10315157717486	-0.73547604308898	CCNE2
apoptosis	1/81	0.46747667354575	0.5064330630079	1.18565764321773	-0.80667773337194	PPP3CA
adipocytokine signaling pathway	1/71	0.4245175505321	0.46967899207807	1.31421525426871	-0.9931601074527	PTPN11
ppar signaling pathway	1/67	0.40641315991559	0.4594235720785	1.54455036095958	-1.20132451832	PDPK1
pyruvate metabolism	1/41	0.27460435095857	0.32453241476922	2.36910600885027	-2.6661204889673	MDH1
notch signaling pathway	1/43	0.28567310428718	0.33011114273185	2.45422444255707	-2.72008047745155	ADAM17
ubiquitin mediated proteolysis	1/39	0.26337008593098	0.32453241476922	2.69802845396339	-3.03627989378975	SMURF2
sphingolipid metabolism	1/36	0.24620312720485	0.32453241476922	2.74424053762219	-3.08828557974062	SPTLC1
thyroid cancer	2/29	0.02248596158895	0.0449719231779	1.22840012746241	-3.81014945167071	BRAF;KRAS
citrate cycle	1/28	0.1985148372908	0.27899382538167	3.16681807134356	-4.04265110207809	MDH1
ether lipid metabolism	2/30	0.02387355392315	0.04597869644458	1.40753096197079	-4.33460013285689	AGPS;PAFAH1B1
biosynthesis of steroids	1/22	0.16085031409597	0.24600636273501	3.51414085943298	-4.9282236863978	EBP
carbon fixation	1/22	0.16085031409597	0.24600636273501	3.6583551108562	-5.13046944665872	MDH1
amyotrophic lateral sclerosis	1/19	0.14138280772896	0.22974706255956	4.05054247231835	-5.95744188341276	PPP3CA
glyoxylate and dicarboxylate metabolism	1/14	0.10796409394015	0.18110106080284	5.81251863857168	-9.93185092646599	MDH1
reductive carboxylate cycle	1/12	0.09424794209636	0.1633630996337	6.7855180300723	-12.29386552060366	MDH1

