Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
fulvestrant-7490	6/100	0.00001306969174	0.03941819027653	-1.67598087588482	5.41933090037827	STIP1;KIAA1109;SPTLC1;LIMCH1;FNTB;NF1
abamectin-7218	5/100	0.00016456672892	0.11028677543538	-1.72566899727626	3.80453283607178	KLHL28;SPRY2;PTPN11;SOS2;ZNF277
hycanthone-1614	4/100	0.00171865996202	0.11028677543538	-1.70872230902413	3.76717095959393	BAG5;CCNE2;NBPF10;SOS1
glycocholic acid-5316	4/100	0.00171865996202	0.11028677543538	-1.69940558264547	3.74663064074469	IFNAR2;TAOK1;CAMK1;LSM4
mimosine-2638	4/100	0.00171865996202	0.11028677543538	-1.69659146514693	3.74042643678399	AKAP11;LARP7;MAP2K7;LSM4
estrone-6448	4/100	0.00171865996202	0.11028677543538	-1.69573562148684	3.73853958286674	SPTLC1;NF1;CBL;DCAF11
droperidol-4629	4/100	0.00171865996202	0.11028677543538	-1.69108365414947	3.72828352419311	CADM1;KRAS;FOXN3;TSHR
gibberellic acid-4818	5/100	0.00016456672892	0.11028677543538	-1.68710659828152	3.7195154234366	PMS2L2;FNTB;NF1;CBL;SOS1
lithocholic acid-4551	4/100	0.00171865996202	0.11028677543538	-1.68673734844336	3.71870134893204	ING2;NF1;DCAF11;SOS2
flucloxacillin-5102	4/100	0.00171865996202	0.11028677543538	-1.68326323086427	3.71104206176462	NF1;STRN;FOXN3;SOS2
edrophonium chloride-5001	4/100	0.00171865996202	0.11028677543538	-1.68316591620629	3.71082751493536	ING2;KIAA1109;NF1;TSHR
valproic acid-5600	4/100	0.00171865996202	0.11028677543538	-1.6828089731147	3.71004057276123	ING2;ADAM17;KIAA1109;LIMCH1
etynodiol-5024	4/100	0.00171865996202	0.11028677543538	-1.68101196151934	3.70607875294982	DHRS12;NF1;PTPN11;CAMK1
thiamazole-4550	4/100	0.00171865996202	0.11028677543538	-1.67854244242609	3.70063427518821	NF1;STRN;MAP2K7;CBL
fusidic acid-1293	5/100	0.00016456672892	0.11028677543538	-1.67710413712264	3.697463284828	KIAA0754;WEE1;RRN3;KLHL28;TMPO
flecainide-3937	4/100	0.00171865996202	0.11028677543538	-1.6757461884354	3.6944694543898	ING2;KIAA1109;KRAS;TSHR
tremorine-6273	4/100	0.00171865996202	0.11028677543538	-1.6748891538773	3.69257997493395	DHRS12;KIAA0754;KLHL28;NF1
pilocarpine-3300	4/100	0.00171865996202	0.11028677543538	-1.6746934838394	3.69214858682567	ING2;FOXN3;LSM4;TMPO
cinnarizine-5817	4/100	0.00171865996202	0.11028677543538	-1.67180725833985	3.68578540842781	LRRTM2;PTPN11;SOS1;ZNF277
LY-294002-1157	4/100	0.00171865996202	0.11028677543538	-1.66997807979159	3.68175267105994	FNTB;PTPN11;SOS1;SOS2
erythromycin-5329	4/100	0.00171865996202	0.11028677543538	-1.66777602735771	3.67689786935424	SPTLC1;PMS2L2;NF1;LARP7
tiaprofenic acid-2852	4/100	0.00171865996202	0.11028677543538	-1.6624751821515	3.66521124829436	ING2;KIAA1109;AKAP11;NF1
nifenazone-7314	4/100	0.00171865996202	0.11028677543538	-1.66171251932678	3.6635298274865	ADAM17;S100A13;NF1;CBL
biotin-6689	4/100	0.00171865996202	0.11028677543538	-1.65900967065435	3.65757093470843	NF1;LARP7;MAP2K7;SOS2
SC-560-6865	4/100	0.00171865996202	0.11028677543538	-1.65781308733524	3.6549328618591	STIP1;SPTLC1;PDPK1;PMS2L2
phenacetin-2832	4/100	0.00171865996202	0.11028677543538	-1.65714352391817	3.65345669463927	DHRS12;PMS2L2;FOXN3;CBL
ganciclovir-6289	4/100	0.00171865996202	0.11028677543538	-1.65619979379235	3.65137607995721	SPTLC1;PDPK1;MAP2K7;DCAF11
valproic acid-6982	4/100	0.00171865996202	0.11028677543538	-1.6555332269517	3.64990651920328	TAOK1;KLHL28;ZC3HAV1;LSM4
indoprofen-4832	4/100	0.00171865996202	0.11028677543538	-1.65523261708253	3.64924377326539	AKAP11;PMS2L2;NF1;MAP2K7
monocrotaline-6771	4/100	0.00171865996202	0.11028677543538	-1.64904103026234	3.63559335977242	KIAA0754;FHOD1;CAMK1;MAP2K7
genistein-5595	4/100	0.00171865996202	0.11028677543538	-1.64389966147141	3.62425833178135	ING2;ADAM17;RRN3;PTPN11
diphemanil metilsulfate-1994	4/100	0.00171865996202	0.11028677543538	-1.64290964621472	3.62207567360169	STIP1;RRN3;TMPO;SOCS5
felodipine-5294	4/100	0.00171865996202	0.11028677543538	-1.64122317995104	3.61835756990555	TAOK1;NF1;LSM4;SOS2
naproxen-1706	4/100	0.00171865996202	0.11028677543538	-1.63717633421784	3.60943560543913	DHX9;NF1;KRAS;STRN
nordihydroguaiaretic acid-415	4/100	0.00171865996202	0.11028677543538	-1.63644357466239	3.60782011150951	KIAA1109;DHX9;NF1;STRN
LY-294002-5236	4/100	0.00171865996202	0.11028677543538	-1.63547994458505	3.60569562397635	ING2;S100A13;MAP2K7;SOS2
pioglitazone-6898	4/100	0.00171865996202	0.11028677543538	-1.63522872026618	3.60514175694167	IFNAR2;SPRY2;LSM4;SOCS5
geldanamycin-1228	4/100	0.00171865996202	0.11028677543538	-1.63418575547604	3.60284236244758	STIP1;NF1;ZC3HAV1;ZNF277
0316684-0000-7098	4/100	0.00171865996202	0.11028677543538	-1.63169359426106	3.59734796625102	STIP1;DHX9;FNTB;TMPO
haloperidol-983	4/100	0.00171865996202	0.11028677543538	-1.62693962816465	3.58686703384515	LIMCH1;PMS2L2;F11R;SOS2
hydroflumethiazide-7019	4/100	0.00171865996202	0.11028677543538	-1.62466816098361	3.58185919544161	KLHL28;NF1;KRAS;CBL
