Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
ERBB signaling pathway (GO:0038127)	11/196	0.00000001262244	0.00000865899251	-2.37205513826784	27.65083843510003	ADAM17;PDPK1;SPRY2;PTPN11;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A;SOCS5
epidermal growth factor receptor signaling pathway (GO:0007173)	11/193	0.00000001084405	0.00000865899251	-2.3659457879483	27.57962227494266	ADAM17;PDPK1;SPRY2;PTPN11;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A;SOCS5
fibroblast growth factor receptor signaling pathway (GO:0008543)	10/163	0.00000002747711	0.00001256619941	-2.34287671824261	26.4381921743489	PDPK1;SPRY2;PTPN11;BRAF;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A
response to fibroblast growth factor (GO:0071774)	10/187	0.00000009393577	0.00002577597485	-2.37093373881806	25.05144641358301	PDPK1;SPRY2;PTPN11;BRAF;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A
cellular response to fibroblast growth factor stimulus (GO:0044344)	10/183	0.00000007745525	0.00002577597485	-2.36954999491298	25.03682568179254	PDPK1;SPRY2;PTPN11;BRAF;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A
neurotrophin TRK receptor signaling pathway (GO:0048011)	11/274	0.0000003287678	0.00007404621622	-2.41996296595756	23.01583487700348	RIT1;ADAM17;PDPK1;PTPN11;BRAF;KRAS;RICTOR;RAF1;SOS1;SOS2;TNRC6A
neurotrophin signaling pathway (GO:0038179)	11/278	0.00000037778682	0.00007404621622	-2.41705911212283	22.98821684263391	RIT1;ADAM17;PDPK1;PTPN11;BRAF;KRAS;RICTOR;RAF1;SOS1;SOS2;TNRC6A
Fc receptor signaling pathway (GO:0038093)	10/352	0.00002261565187	0.00387858429493	-3.76702133893542	20.91557631733482	PPP3CA;PDPK1;WIPF3;PTPN11;KRAS;RICTOR;RAF1;MAP2K7;SOS1;TNRC6A
Fc-epsilon receptor signaling pathway (GO:0038095)	9/295	0.00003498979491	0.00533399984652	-3.89837435791929	20.40274209179974	PPP3CA;PDPK1;PTPN11;KRAS;RICTOR;RAF1;MAP2K7;SOS1;TNRC6A
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	10/444	0.00015041896402	0.01289842616462	-3.53615274962666	15.38456288166117	PPP3CA;PDPK1;WIPF3;PTPN11;KRAS;RICTOR;RAF1;MAP2K7;SOS1;TNRC6A
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	5/71	0.0000536872296	0.00736588790057	-2.25641433655586	11.08101541671151	ADAM17;SPRY2;CBL;SOS1;SOCS5
regulation of protein serine/threonine kinase activity (GO:0071900)	10/416	0.00008917626641	0.00941152596281	-2.37192587294585	11.06697959059325	SPRED1;ADAM17;CCNE2;NF1;SPRY2;PTPN11;KRAS;CAMK1;AIDA;MAP2K7
negative regulation of protein kinase activity (GO:0006469)	7/189	0.00008575363277	0.00941152596281	-2.33980462722189	10.91710763426183	SPRED1;GMFB;PDPK1;NF1;SPRY2;AIDA;SOCS5
regulation of ERBB signaling pathway (GO:1901184)	5/74	0.000064678159	0.00806713037694	-2.25214626294378	10.85524916170809	ADAM17;SPRY2;CBL;SOS1;SOCS5
negative regulation of intracellular signal transduction (GO:1902532)	9/345	0.00011302285577	0.01107623986561	-2.40826239999754	10.84429244116652	SPRED1;ING2;CRTC3;BAG5;RRN3;NF1;SPRY2;AIDA;PAFAH1B1
negative regulation of kinase activity (GO:0033673)	7/202	0.00012803432962	0.01171087334912	-2.3511295157148	10.45603140295356	SPRED1;GMFB;PDPK1;NF1;SPRY2;AIDA;SOCS5
negative regulation of transferase activity (GO:0051348)	8/284	0.00016715454992	0.01349035544061	-2.4015063120709	10.3403584743606	SPRED1;BAG5;GMFB;PDPK1;NF1;SPRY2;AIDA;SOCS5
regulation of cellular response to stress (GO:0080135)	9/404	0.0003563902458	0.02713253530994	-2.46307092903326	8.88435030507049	SPRED1;ING2;BAG5;TAOK1;TRIM13;AIDA;MAP2K7;PAFAH1B1;ZNF277
negative regulation of protein modification process (GO:0031400)	9/407	0.00037574210706	0.02713253530994	-2.42849151806464	8.75962161911712	TMEM59;SPRED1;BAG5;GMFB;PDPK1;NF1;SPRY2;AIDA;SOCS5
