Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GCM_BAG5	3/38	0.001552579208	0.25177035094416	-2.38290329968814	3.28659057332177	SPTLC1;BAG5;ZNF644
MORF_MBD4	4/86	0.00161391250605	0.25177035094416	-2.01592332875144	2.78043788418985	SPTLC1;BAG5;GMFB;MDH1
MORF_BECN1	4/101	0.00283662760572	0.29500927099479	-1.98841734336885	2.42735748140772	TMEM59;KIAA1109;SFSWAP;KRAS
MODULE_86	2/43	0.02644189232061	0.63972205797871	-2.19953255928711	0.98257844319631	RIT1;KRAS
MORF_SP3	3/80	0.01132911798353	0.63972205797871	-2.03350811078798	0.90841175561989	BAG5;GMFB;MDH1
MORF_GMPS	2/53	0.03827433755304	0.63972205797871	-2.02741615794899	0.90569034942326	PTPN11;LSM4
MODULE_403	2/46	0.02980690793313	0.63972205797871	-2.01979547156032	0.90228602511069	WEE1;CCNE2
MORF_AP2M1	4/217	0.0355620798002	0.63972205797871	-1.98445719284929	0.88649965689599	TMEM59;BAG5;GMFB;MDH1
MORF_BAG5	2/57	0.0434769109766	0.63972205797871	-1.97542160685473	0.88246326653549	BAG5;GMFB
MORF_CDC2L5	4/140	0.0086717552	0.63972205797871	-1.97445383940662	0.88203094402745	SFSWAP;AGPS;FNTB;PAFAH1B1
MORF_RAB1A	4/194	0.02509854630056	0.63972205797871	-1.95447568104702	0.8731062715301	TMEM59;GMFB;MDH1;RAF1
MORF_RAB11A	2/59	0.04617185644701	0.63972205797871	-1.95398641930977	0.87288770780206	BAG5;GMFB
MORF_RAD23B	4/179	0.01943044317044	0.63972205797871	-1.95182129289346	0.87192049932202	SPTLC1;BAG5;GMFB;MDH1
MORF_RAF1	3/110	0.02565555329469	0.63972205797871	-1.94927210299271	0.87078172143328	GMFB;SFSWAP;RAF1
MODULE_212	5/329	0.03931982243244	0.63972205797871	-1.92319428004076	0.8591321977334	EBP;MDH1;CADM1;PEBP1;CAMK1
MODULE_252	4/237	0.04644894738153	0.63972205797871	-1.92181925088474	0.8585179426719	WEE1;CCNE2;DHX9;TMPO
MORF_TERF2IP	3/112	0.02684345343701	0.63972205797871	-1.90394830713006	0.85053460820441	SFSWAP;KRAS;RAF1
MORF_PPP2CA	3/127	0.03667887292525	0.63972205797871	-1.89788101687709	0.84782421931473	GMFB;MDH1;RAF1
MORF_MT4	4/246	0.05189457479111	0.63972205797871	-1.88859248927565	0.84367483450491	SFSWAP;AGPS;NF1;FOXN3
MODULE_57	2/56	0.04215253530579	0.63972205797871	-1.86732662999781	0.83417491834581	WEE1;CCNE2
MORF_ETV3	2/64	0.05316903494609	0.63972205797871	-1.86444205362731	0.83288631611646	FNTB;NF1
MORF_FEN1	2/65	0.05461138769137	0.63972205797871	-1.83943737465869	0.82171618888654	PTPN11;LSM4
GCM_ERBB2IP	2/64	0.05316903494609	0.63972205797871	-1.83647543436039	0.82039302652876	KIAA1109;SNX5
MORF_RAP1A	3/139	0.04570740635645	0.63972205797871	-1.81009709463579	0.80860925553103	SFSWAP;AGPS;FNTB
MODULE_8	5/421	0.09092728842803	0.63972205797871	-1.79243854069496	0.80072080015581	WEE1;EBP;GMFB;DHX9;DCAF11
MODULE_198	4/303	0.09407258251383	0.63972205797871	-1.79007164863975	0.79966345863067	WEE1;CCNE2;DHX9;TMPO
