Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
ERBB signaling pathway (GO:0038127)	12/196	0.00000269305921	0.00191548230549	-2.37205513826784	14.84381303556743	ADAM17;PDPK1;SPRY2;ADCY3;PTPN11;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A;SOCS5
epidermal growth factor receptor signaling pathway (GO:0007173)	12/193	0.00000231480856	0.00191548230549	-2.3659457879483	14.80558202969872	ADAM17;PDPK1;SPRY2;ADCY3;PTPN11;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A;SOCS5
fibroblast growth factor receptor signaling pathway (GO:0008543)	11/163	0.00000294992142	0.00191548230549	-2.34287671824261	14.66122073215071	PDPK1;SPRY2;ADCY3;PTPN11;BRAF;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A
response to fibroblast growth factor (GO:0071774)	11/187	0.00001018498992	0.00396807207391	-2.37093373881806	13.11001865984901	PDPK1;SPRY2;ADCY3;PTPN11;BRAF;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A
cellular response to fibroblast growth factor stimulus (GO:0044344)	11/183	0.00000839362444	0.00396807207391	-2.36954999491298	13.10236728262196	PDPK1;SPRY2;ADCY3;PTPN11;BRAF;KRAS;RICTOR;RAF1;CBL;SOS1;TNRC6A
neurotrophin TRK receptor signaling pathway (GO:0048011)	13/274	0.00001439285929	0.00463805079764	-2.41996296595756	13.00357683129817	PDPK1;ADCY3;PTPN11;BRAF;RHOA;RIT1;ADAM17;KRAS;RICTOR;RAF1;SOS1;SOS2;TNRC6A
neurotrophin signaling pathway (GO:0038179)	13/278	0.00001666650697	0.00463805079764	-2.41705911212283	12.98797308571286	PDPK1;ADCY3;PTPN11;BRAF;RHOA;RIT1;ADAM17;KRAS;RICTOR;RAF1;SOS1;SOS2;TNRC6A
Fc-epsilon receptor signaling pathway (GO:0038095)	11/295	0.00049921429111	0.05402607994955	-3.86756361390853	11.28666598036702	PPP3CA;PDPK1;PTPN11;KRAS;RICTOR;RAF1;MAP2K7;SOS1;PAK2;TNRC6A;LAT
Fc receptor signaling pathway (GO:0038093)	12/352	0.00060285978729	0.06108478688631	-3.73016695518928	10.42765348936602	PPP3CA;PDPK1;WIPF3;PTPN11;KRAS;RICTOR;RAF1;MAP2K7;SOS1;PAK2;TNRC6A;LAT
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	14/444	0.0004534496267	0.05402607994955	-3.53615274962666	10.31951350381498	PDPK1;WIPF3;PTPN11;CD3D;ZAP70;PPP3CA;KRAS;RICTOR;RAF1;MAP2K7;SOS1;PAK2;TNRC6A;LAT
negative regulation of intracellular signal transduction (GO:1902532)	13/345	0.00013937384442	0.03393753111584	-2.42364088960708	8.19974369057496	CRTC3;RRN3;WWC1;RASAL3;RHOA;SPRED1;ING2;BAG5;NF1;SPRY2;AIDA;RFFL;PAFAH1B1
lymphocyte activation (GO:0046649)	12/304	0.0001674276287	0.03570235245913	-2.30890966793007	7.69453081660963	ZNF683;ZAP70;PPP3CA;ADAM17;CDK6;CADM1;XRCC4;BRAF;CD3D;TSHR;LAT;SKAP2
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	6/71	0.00018327696334	0.03570235245913	-2.25641433655586	7.51958809338515	ADAM17;ZGPAT;SPRY2;CBL;SOS1;SOCS5
leukocyte activation (GO:0045321)	13/373	0.00029081650704	0.04225668175222	-2.3514273919675	7.43989931369166	ZNF683;CADM1;XRCC4;BRAF;CD3D;TSHR;ZAP70;PPP3CA;ADAM17;CDK6;S100A13;LAT;SKAP2
negative regulation of protein kinase activity (GO:0006469)	9/189	0.00030369278467	0.04225668175222	-2.33459910540538	7.38665473634611	SPRED1;ZGPAT;GMFB;PDPK1;NF1;SPRY2;AIDA;PAK2;SOCS5
regulation of ERBB signaling pathway (GO:1901184)	6/74	0.00022619204783	0.04005655537877	-2.25214626294378	7.24619713421207	ADAM17;ZGPAT;SPRY2;CBL;SOS1;SOCS5
negative regulation of kinase activity (GO:0033673)	9/202	0.00048351187389	0.05402607994955	-2.34593061042556	6.84610205706058	SPRED1;ZGPAT;GMFB;PDPK1;NF1;SPRY2;AIDA;PAK2;SOCS5
Ras protein signal transduction (GO:0007265)	8/148	0.0002940842204	0.04225668175222	-2.13110653907171	6.74280572370853	RIT1;G3BP1;NF1;KRAS;RAF1;SOS1;LAT;RHOA
positive T cell selection (GO:0043368)	3/13	0.00062715386947	0.06108478688631	-2.3778892923572	6.64737151839265	ZAP70;BRAF;CD3D
T cell activation (GO:0042110)	9/198	0.00042072116346	0.05402607994955	-2.25726846900912	6.58736035940038	ZAP70;PPP3CA;ADAM17;CDK6;CADM1;XRCC4;BRAF;CD3D;LAT
regulation of cellular senescence (GO:2000772)	3/16	0.00105966716418	0.08974920155718	-2.49829800831576	6.02273731700364	ING2;CDK6;ZNF277
lymphocyte differentiation (GO:0030098)	8/172	0.00076184707244	0.07067038557648	-2.21231314897869	5.86202957406317	ZNF683;ZAP70;ADAM17;CDK6;XRCC4;BRAF;CD3D;TSHR
positive regulation of stress fiber assembly (GO:0051496)	4/39	0.00117138971907	0.09507779886446	-2.36811631584801	5.57231927402312	FHOD1;BRAF;EVL;RHOA
T cell differentiation (GO:0030217)	6/97	0.00087804254789	0.07774667651297	-2.16717674283989	5.53561841571038	ZAP70;ADAM17;CDK6;XRCC4;BRAF;CD3D
negative regulation of transferase activity (GO:0051348)	10/284	0.00136326513423	0.10622561925935	-2.38091325238264	5.33845979798817	SPRED1;ZGPAT;BAG5;GMFB;PDPK1;NF1;SPRY2;AIDA;PAK2;SOCS5
regulation of cellular response to stress (GO:0080135)	12/404	0.00189481403884	0.11457624602488	-2.42650427383875	5.25705735712627	SPRED1;ING2;CDK6;BAG5;TAOK1;NBR1;TRIM13;AIDA;MAP2K7;MAP4K5;PAFAH1B1;ZNF277
positive regulation of protein kinase activity (GO:0045860)	13/456	0.00175874073408	0.11457624602488	-2.39851176506448	5.19641117332072	PDPK1;ADCY3;PTPN11;BRAF;ADAM17;SPRY2;KRAS;CAMK1;CALR;RAF1;MAP2K7;MAP4K5;PAK2
