Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
promazine-3833	7/100	0.00005449666857	0.20430801046589	-1.69071950018427	2.68507655828999	C11ORF80;GSTCD;KLHL28;SPRY2;STRN;CBL;PLCD1
pipemidic acid-6752	6/100	0.00041976672323	0.31474108907962	-1.70967917678437	1.97639753581902	CDK6;HP1BP3;KLHL28;CBL;CD3D;PLCD1
ginkgolide A-4121	6/100	0.00041976672323	0.31474108907962	-1.6576399406887	1.91623992298617	HP1BP3;FNTB;CRYZL1;LRIG1;AIDA;ITFG1
deferoxamine-3842	6/100	0.00041976672323	0.31474108907962	-1.64402596476402	1.90050209986964	CDK6;TAOK1;STRN;CAMK1;CBL;PLCD1
fenspiride-1422	6/100	0.00041976672323	0.31474108907962	-1.60301001295601	1.85308745788102	CRTAP;RRN3;GSTCD;AGPS;ITFG1;PLCD1
sotalol-7338	5/100	0.00277842464815	0.43401308358033	-1.69005387772333	1.41065518272605	KIAA0754;C11ORF80;GSTCD;TAOK1;LRIG1
iohexol-2461	5/100	0.00277842464815	0.43401308358033	-1.68725090485547	1.40831559565418	LRRC37A3;CDK6;GSTCD;KLHL28;CBL
nicardipine-5397	5/100	0.00277842464815	0.43401308358033	-1.66911845246268	1.39318078943257	C11ORF80;TAOK1;HP1BP3;SPRY2;MDM4
tanespimycin-6978	5/100	0.00277842464815	0.43401308358033	-1.66688777046093	1.39131888244353	CCNE2;FHOD1;CD3EAP;EVL;SLC25A32
benzbromarone-1291	5/100	0.00277842464815	0.43401308358033	-1.65995168035658	1.38552946260163	GSTCD;FHOD1;TAOK1;BRAF;EVL
citiolone-2176	5/100	0.00277842464815	0.43401308358033	-1.65097108946619	1.37803353761933	KIAA0754;KLHL28;MDM4;STRN;PLCD1
cefadroxil-1323	5/100	0.00277842464815	0.43401308358033	-1.64552870169033	1.37349088213147	IMPAD1;AGPS;HP1BP3;AIDA;SELT
indometacin-5049	5/100	0.00277842464815	0.43401308358033	-1.64441488370718	1.3725611998703	KIAA0754;C11ORF80;HP1BP3;KLHL28;STRN
hesperidin-6714	5/100	0.00277842464815	0.43401308358033	-1.64231132987819	1.37080540430063	HP1BP3;FNTB;STRN;SELT;DCP1A
arcaine-4974	5/100	0.00277842464815	0.43401308358033	-1.63429863181597	1.36411736068375	KIAA0754;C11ORF80;HP1BP3;BRAF;PLCD1
tremorine-1579	5/100	0.00277842464815	0.43401308358033	-1.63348964309501	1.36344211349369	CRTAP;GSTCD;CRYZL1;ATP11B;AIDA
serotonin-3311	5/100	0.00277842464815	0.43401308358033	-1.62988099319127	1.36043004343104	C11ORF80;FHOD1;LRIG1;CAMK1;DCP1A
amitriptyline-167	5/100	0.00277842464815	0.43401308358033	-1.6296958338279	1.36027549450274	AKIRIN1;IMPAD1;ATP11B;DCP1A;RBMS3
sulpiride-4566	5/100	0.00277842464815	0.43401308358033	-1.62516893337719	1.35649697852366	RIT1;RRN3;IMPAD1;AIDA;SELT
genistein-5595	5/100	0.00277842464815	0.43401308358033	-1.62499763222648	1.3563539967766	LRRC37A3;TAOK1;LRRTM2;SPRY2;CD3D
chlortalidone-7152	5/100	0.00277842464815	0.43401308358033	-1.6161192422488	1.34894337691332	LRRC37A3;C15ORF29;C11ORF80;BRAF;CBL
nifurtimox-4953	5/100	0.00277842464815	0.43401308358033	-1.61152874983224	1.3451117819541	HP1BP3;LRIG1;MDM4;CBL;PLCD1
syrosingopine-1761	5/100	0.00277842464815	0.43401308358033	-1.61029261525544	1.3440800044053	C15ORF29;ATP11B;RSBN1;PLCD1;RPAP3
propantheline bromide-3352	5/100	0.00277842464815	0.43401308358033	-1.60553123942626	1.3401057763769	C11ORF80;GSTCD;HP1BP3;FNTB;CAMK1
pinacidil-5456	4/100	0.01542649073792	0.55328647590178	-1.67758192411524	0.99292613570811	LRRC37A3;KIAA0754;TAOK1;KLHL28
bethanechol-5114	4/100	0.01542649073792	0.55328647590178	-1.67737752061193	0.99280515349093	CDK6;TAOK1;CBL;RBMS3
pindolol-4496	4/100	0.01542649073792	0.55328647590178	-1.67447501198723	0.99108721850895	CDK6;TAOK1;STRN;CBL
sulconazole-3373	4/100	0.01542649073792	0.55328647590178	-1.67097411167094	0.98901510782834	LRRC37A3;KIAA0754;PLIN3;STRN
mometasone-2896	4/100	0.01542649073792	0.55328647590178	-1.66186859562152	0.98362574070736	KIAA0754;CCNE2;CD3EAP;MDM4
bemegride-3389	4/100	0.01542649073792	0.55328647590178	-1.65137833852529	0.97741677392523	KIAA0754;HP1BP3;MDM4;PLCD1
methoxamine-2848	4/100	0.01542649073792	0.55328647590178	-1.65014269716619	0.9766854232936	C11ORF80;HP1BP3;MDM4;STRN
cytisine-2759	4/100	0.01542649073792	0.55328647590178	-1.64862654179694	0.9757880422058	GSTCD;PLIN3;BRAF;CBL
cefoperazone-5424	4/100	0.01542649073792	0.55328647590178	-1.64702931116765	0.97484267434402	LRRC37A3;C11ORF80;SPRY2;CAMK1
hyoscyamine-5099	4/100	0.01542649073792	0.55328647590178	-1.64400774366274	0.97305427086678	KIAA0754;CDK6;GSTCD;RBMS3
lynestrenol-6756	4/100	0.01542649073792	0.55328647590178	-1.63902001096881	0.97010213477224	LRRC37A3;HP1BP3;CBL;PLCD1
equilin-3377	4/100	0.01542649073792	0.55328647590178	-1.63324483470198	0.96668392707029	LRRC37A3;CDK6;TAOK1;HP1BP3
ticlopidine-4155	4/100	0.01542649073792	0.55328647590178	-1.63289332260213	0.96647587430939	KLHL28;CAMK1;CD3D;PLCD1
PHA-00851261E-3773	4/100	0.01542649073792	0.55328647590178	-1.63235107659758	0.96615493008475	IMPAD1;KLHL28;STRN;CBL
pirinixic acid-487	4/100	0.01542649073792	0.55328647590178	-1.63058795098922	0.96511137240693	KLHL28;PLIN3;PLCD1;RPAP3
dexibuprofen-6712	4/100	0.01542649073792	0.55328647590178	-1.63022682135059	0.96489762722322	HIST1H3A;HP1BP3;STRN;CBL
benperidol-4781	4/100	0.01542649073792	0.55328647590178	-1.6283023446459	0.96375856915983	IMPAD1;HP1BP3;SELT;ITFG1
ethisterone-3864	4/100	0.01542649073792	0.55328647590178	-1.62701521990347	0.96299674657561	RRN3;GSTCD;TAOK1;LRIG1
isometheptene-6524	4/100	0.01542649073792	0.55328647590178	-1.62269381661152	0.96043899710905	KIAA0754;KLHL28;LRIG1;ATP11B
primaquine-1343	4/100	0.01542649073792	0.55328647590178	-1.62135200702517	0.95964480769375	LRRC37A3;TAOK1;HP1BP3;CBL
benzonatate-1843	4/100	0.01542649073792	0.55328647590178	-1.61872448023952	0.95808962878997	KIAA0754;C15ORF29;CD3EAP;MDM4
thalidomide-2258	4/100	0.01542649073792	0.55328647590178	-1.61848813401197	0.95794974033324	KIAA0754;SPRY2;CAMK1;DCP1A
trifluoperazine-5442	4/100	0.01542649073792	0.55328647590178	-1.61814301906883	0.95774547391743	KIAA0754;CCNE2;TAOK1;HP1BP3
allantoin-5052	4/100	0.01542649073792	0.55328647590178	-1.61777831047772	0.95752961042556	HIST1H3A;HP1BP3;CBL;PLCD1
fluocinonide-3933	4/100	0.01542649073792	0.55328647590178	-1.61576218704784	0.95633630855603	MDM4;CAMK1;CBL;PLCD1
chlorpromazine-1158	4/100	0.01542649073792	0.55328647590178	-1.61509657298127	0.95594234532032	KIAA0754;GSTCD;TAOK1;CAPN1
ceforanide-6751	4/100	0.01542649073792	0.55328647590178	-1.6119254953256	0.95406544986895	LRRC37A3;HP1BP3;CD3D;PLCD1
chlorcyclizine-6053	4/100	0.01542649073792	0.55328647590178	-1.61149766170637	0.95381222397508	KIAA0754;C11ORF80;TAOK1;CBL
nomifensine-1378	4/100	0.01542649073792	0.55328647590178	-1.60788117963474	0.95167170283771	LRRC37A3;FHOD1;EVL;RBMS3
scopolamine N-oxide-2262	4/100	0.01542649073792	0.55328647590178	-1.60557429751565	0.95030630689781	KIAA0754;C11ORF80;TAOK1;PLCD1
meclocycline-3277	4/100	0.01542649073792	0.55328647590178	-1.6025616907298	0.94852320708534	TAOK1;LRIG1;SPRY2;STRN
drofenine-6776	4/100	0.01542649073792	0.55328647590178	-1.60236257076737	0.94840535208703	GSTCD;KLHL28;SPRY2;CBL
tracazolate-4964	4/100	0.01542649073792	0.55328647590178	-1.60033299840985	0.94720409007466	IMPAD1;HP1BP3;MDM4;STRN
nocodazole-6793	4/100	0.01542649073792	0.55328647590178	-1.60025084967632	0.94715546793384	CCNE2;IMPAD1;TRIM13;BRAF
imipenem-5997	4/100	0.01542649073792	0.55328647590178	-1.59962029643924	0.94678225647987	C11ORF80;FHOD1;HP1BP3;ATP11B
"4,5-dianilinophthalimide"-578	4/100	0.01542649073792	0.55328647590178	-1.5969261127814	0.94518762474844	LRRC37A3;CD3EAP;EVL;PLCD1
pyridoxine-1759	4/100	0.01542649073792	0.55328647590178	-1.5961153763035	0.94470776655105	PLIN3;CBL;CD3D;PLCD1
Prestwick-664-3613	4/100	0.01542649073792	0.55328647590178	-1.59572997879697	0.94447965771692	C11ORF80;HP1BP3;CD3D;PLCD1
iopromide-4504	4/100	0.01542649073792	0.55328647590178	-1.59498166744038	0.94403674766113	CDK6;HIST1H3A;GSTCD;TAOK1
xamoterol-5363	4/100	0.01542649073792	0.55328647590178	-1.59475279832712	0.94390128475411	FHOD1;TAOK1;HP1BP3;BRAF
PHA-00851261E-3968	4/100	0.01542649073792	0.55328647590178	-1.59292340062978	0.94281850199388	LRRC37A3;TAOK1;CAMK1;CD3D
methacholine chloride-3452	4/100	0.01542649073792	0.55328647590178	-1.59101350527948	0.94168807433338	C11ORF80;TRIM13;BRAF;STRN
ganciclovir-6289	4/100	0.01542649073792	0.55328647590178	-1.59077141952657	0.94154478876998	TAOK1;HP1BP3;BRAF;EVL
terconazole-4407	4/100	0.01542649073792	0.55328647590178	-1.58975982789814	0.94094604855223	KIAA0754;CDK6;CBL;CD3D
cyclizine-2880	4/100	0.01542649073792	0.55328647590178	-1.58975608615923	0.94094383389416	KIAA0754;TAOK1;HP1BP3;PLCD1
iocetamic acid-3361	4/100	0.01542649073792	0.55328647590178	-1.58927855097725	0.94066119067054	KIAA0754;SPRY2;BRAF;PLCD1
thiamphenicol-1867	4/100	0.01542649073792	0.55328647590178	-1.58901346659471	0.94050429269268	KIAA0754;TAOK1;MDM4;CD3D
trimethadione-2486	4/100	0.01542649073792	0.55328647590178	-1.58806236448396	0.93994135497267	GSTCD;TAOK1;BRAF;PLCD1
sanguinarine-4168	4/100	0.01542649073792	0.55328647590178	-1.58728646693872	0.93948211722086	MDM4;ATP11B;STRN;CBL
orciprenaline-4831	4/100	0.01542649073792	0.55328647590178	-1.58675139731419	0.93916542054753	KIAA0754;TAOK1;HP1BP3;KLHL28
prilocaine-3624	4/100	0.01542649073792	0.55328647590178	-1.58637618362662	0.93894333930576	CDK6;C11ORF80;CBL;CD3D
piroxicam-7445	4/100	0.01542649073792	0.55328647590178	-1.58549395109152	0.93842116406694	HP1BP3;FNTB;LRIG1;DCP1A
cefadroxil-4080	3/100	0.06951131772466	0.55328647590178	-1.584441720269	0.93779837034852	CDK6;HIST1H3A;TAOK1
fenbufen-4279	3/100	0.06951131772466	0.55328647590178	-1.58413941082151	0.93761943962259	KIAA0754;UGCG;CBL
hesperetin-6750	4/100	0.01542649073792	0.55328647590178	-1.58206281450624	0.93639034509963	CDK6;HP1BP3;FNTB;CBL
sulfamethoxypyridazine-4733	4/100	0.01542649073792	0.55328647590178	-1.58198802604191	0.93634607935033	LRIG1;MDM4;CAMK1;CBL
mepenzolate bromide-3748	3/100	0.06951131772466	0.55328647590178	-1.5815746076879	0.93610138555459	LRRC37A3;BRAF;RBMS3
retrorsine-2784	4/100	0.01542649073792	0.55328647590178	-1.58116826473226	0.93586087954119	GSTCD;FHOD1;MDM4;CBL
citiolone-3755	3/100	0.06951131772466	0.55328647590178	-1.57699795861303	0.93339256137433	CDK6;KLHL28;BRAF
finasteride-3744	3/100	0.06951131772466	0.55328647590178	-1.57593147441133	0.9327613313748	GSTCD;MDM4;CBL
quinethazone-3875	4/100	0.01542649073792	0.55328647590178	-1.57378967959492	0.93149364720392	CDK6;GSTCD;CD3D;PLCD1
quinostatin-973	3/100	0.06951131772466	0.55328647590178	-1.57367239939748	0.93142423147432	CCNE2;HP1BP3;SLC25A32
acepromazine-1777	4/100	0.01542649073792	0.55328647590178	-1.5734722868995	0.93130578901469	WEE1;C15ORF29;AIDA;RSBN1
wortmannin-1081	4/100	0.01542649073792	0.55328647590178	-1.57316183130878	0.93112203675462	STIP1;FHOD1;CD3EAP;SLC25A32
cinnarizine-1558	4/100	0.01542649073792	0.55328647590178	-1.57242371972321	0.93068516373289	GSTCD;ATP11B;CAPN1;RAF1
homosalate-3879	4/100	0.01542649073792	0.55328647590178	-1.56779096389441	0.92794313112235	CDK6;CAMK1;CD3D;PLCD1
pempidine-2172	4/100	0.01542649073792	0.55328647590178	-1.56698917643849	0.92746856966648	HP1BP3;MDM4;CBL;PLCD1
flupentixol-6708	3/100	0.06951131772466	0.55328647590178	-1.56678811345991	0.92734956463699	LRRC37A3;CDK6;HIST1H3A
methylbenzethonium chloride-3943	4/100	0.01542649073792	0.55328647590178	-1.56627592666104	0.92704641183613	KIAA0754;CCNE2;TAOK1;CD3EAP
cefalexin-1273	4/100	0.01542649073792	0.55328647590178	-1.56599848235026	0.9268821982717	GSTCD;IMPAD1;AIDA;SELT
ipratropium bromide-1769	3/100	0.06951131772466	0.55328647590178	-1.56192236072654	0.9244696259649	ATP11B;AIDA;SELT
alprenolol-3188	3/100	0.06951131772466	0.55328647590178	-1.55948368474381	0.92302622395575	KIAA0754;HP1BP3;MDM4
iocetamic acid-4425	4/100	0.01542649073792	0.55328647590178	-1.55927317781377	0.9229016292462	KIAA0754;TAOK1;CBL;PLCD1
CP-863187-7512	4/100	0.01542649073792	0.55328647590178	-1.55858347355659	0.9224934075236	RIT1;RRN3;AIDA;SELT
etidronic acid-4387	4/100	0.01542649073792	0.55328647590178	-1.55766801941844	0.92195156910323	KIAA0754;MDM4;CAMK1;CBL
doxylamine-1893	4/100	0.01542649073792	0.55328647590178	-1.55743872553498	0.92181585478348	EVL;AIDA;PLCD1;RBMS3
proguanil-5506	4/100	0.01542649073792	0.55328647590178	-1.55401444756195	0.91978909528728	C15ORF29;GSTCD;FHOD1;BRAF
spironolactone-1380	4/100	0.01542649073792	0.55328647590178	-1.55121619236182	0.91813286575676	CRTAP;IMPAD1;FHOD1;SLC25A32
benserazide-6722	4/100	0.01542649073792	0.55328647590178	-1.55121558448498	0.918132505967	HP1BP3;KLHL28;FNTB;CBL
chlorcyclizine-3893	4/100	0.01542649073792	0.55328647590178	-1.55098169814028	0.91799407346418	CDK6;CAMK1;CD3D;PLCD1
sulfadiazine-1852	3/100	0.06951131772466	0.55328647590178	-1.55009977661892	0.91747208230797	TAOK1;TFEB;MDM4
ambroxol-3238	4/100	0.01542649073792	0.55328647590178	-1.5495571718804	0.9171509257561	LRRTM2;SPRY2;MDM4;CD3D
