Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
chronic myeloid leukemia	8/75	0.00000377900914	0.00011106643364	-2.01591021694886	18.35563267237416	CDK6;PTPN11;BRAF;KRAS;RAF1;CBL;SOS1;SOS2
natural killer cell mediated cytotoxicity	10/129	0.00000298145601	0.00011106643364	-1.99411529262379	18.15718155998356	IFNAR2;ZAP70;PPP3CA;PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2;LAT
non small cell lung cancer	7/53	0.00000450269326	0.00011106643364	-1.98389205450056	18.0640950712429	CDK6;PDPK1;BRAF;KRAS;RAF1;SOS1;SOS2
erbb signaling pathway	8/85	0.00000894519606	0.00014345136983	-1.85272618023059	16.39572713420346	BRAF;KRAS;RAF1;MAP2K7;CBL;SOS1;SOS2;PAK2
prostate cancer	8/86	0.00000969266012	0.00014345136983	-1.80293202647948	15.95507305024156	CCNE2;CREB3L3;PDPK1;BRAF;KRAS;RAF1;SOS1;SOS2
renal cell carcinoma	7/69	0.00002216003123	0.00027330705179	-1.67965470085874	13.78142348383486	PTPN11;BRAF;KRAS;RAF1;SOS1;SOS2;PAK2
endometrial cancer	6/52	0.00004677748596	0.0004326917451	-1.47521043096916	11.42622024805451	PDPK1;BRAF;KRAS;RAF1;SOS1;SOS2
glioma	6/62	0.00011588388469	0.00095282305192	-1.49120780892697	10.37296282320852	CDK6;BRAF;KRAS;RAF1;SOS1;SOS2
fc epsilon ri signaling pathway	6/74	0.00028639662827	0.00211933504921	-1.45337869963667	8.94794817942152	KRAS;RAF1;MAP2K7;SOS1;SOS2;LAT
dorso ventral axis formation	5/28	0.00003252425683	0.00034382785795	-1.10511063846375	8.81366561248348	BRAF;KRAS;RAF1;SOS1;SOS2
jak stat signaling pathway	8/148	0.00036749087119	0.00247221131531	-1.35628742324307	8.14130820279058	IFNAR2;SPRED1;SPRY2;PTPN11;CBL;SOS1;SOS2;SOCS5
mapk signaling pathway	10/248	0.00060819590498	0.00346203822836	-1.41001418600625	7.98899624628031	PPP3CA;TAOK1;NF1;BRAF;KRAS;RAF1;MAP2K7;SOS1;SOS2;PAK2
acute myeloid leukemia	5/52	0.00046561830986	0.00287131291077	-1.10806942103927	6.48551469048757	BRAF;KRAS;RAF1;SOS1;SOS2
gnrh signaling pathway	6/96	0.00105828482307	0.00559379120763	-1.16209213730028	6.02672371980736	ADCY3;KRAS;RAF1;MAP2K7;SOS1;SOS2
colorectal cancer	5/84	0.00349535818553	0.01724376704863	-1.10603775698881	4.49085011650684	BRAF;KRAS;RAF1;SOS1;SOS2
gap junction	5/90	0.00463168831307	0.02142155844794	-1.03618395773523	3.98242534382786	ADCY3;KRAS;RAF1;SOS1;SOS2
focal adhesion	7/192	0.00758629778618	0.03302270801041	-1.14450976944162	3.90341904771601	PDPK1;BRAF;RAF1;SOS1;SOS2;PAK2;RHOA
regulation of actin cytoskeleton	7/201	0.00959669697816	0.03737660928335	-0.96236412204694	3.16301196685498	BRAF;KRAS;RAF1;SOS1;SOS2;PAK2;RHOA
long term potentiation	4/67	0.00899063168276	0.03696148580689	-0.67600197533658	2.22937260526764	PPP3CA;BRAF;KRAS;RAF1
melanoma	4/71	0.01087193964477	0.04022617668565	-0.64967298386424	2.08755348660227	CDK6;BRAF;KRAS;RAF1
pancreatic cancer	4/73	0.01190151520559	0.0419386726292	-0.64214138088307	2.03658150801345	CDK6;BRAF;KRAS;RAF1
melanogenesis	4/100	0.03219991262944	0.1035997188947	-0.58211710702885	1.31978793306917	CREB3L3;ADCY3;KRAS;RAF1
vegf signaling pathway	3/68	0.04929404020026	0.14302420280805	-0.23126144444656	0.44974370816159	PPP3CA;KRAS;RAF1
epithelial cell signaling in helicobacter pylori infection	3/65	0.04427546311861	0.13651601128238	-0.1832126957822	0.36483389111628	ADAM17;PTPN11;F11R
axon guidance	4/126	0.06396953373167	0.16323260331529	-0.20008614646097	0.36267196351074	PPP3CA;KRAS;PAK2;RHOA
long term depression	3/73	0.05825280922208	0.15395385294408	-0.08421574327263	0.15757627747565	BRAF;KRAS;RAF1
cell cycle	3/104	0.12861258893586	0.29741661191418	0.03454668681271	-0.04189205136108	WEE1;CDK6;CCNE2
neuroactive ligand receptor interaction	1/238	0.94525416402099	0.95111085111633	2.27211709875456	-0.11388909828585	TSHR
cytokine cytokine receptor interaction	1/247	0.95111085111633	0.95111085111633	2.35162214706288	-0.11787426184365	IFNAR2
leukocyte transendothelial migration	3/110	0.1447265978247	0.30599337825794	0.14856366046561	-0.17592787101859	PTPN11;F11R;RHOA
purine metabolism	1/139	0.81341565543772	0.83601053475544	2.26221526471734	-0.40519457105176	ADCY3
tight junction	3/131	0.20574465316378	0.3618243019367	0.54718229903551	-0.55626363126183	KRAS;F11R;RHOA
