Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
neurotrophin TRK receptor signaling pathway (GO:0048011)	12/274	0.00000276578449	0.00263066386412	-2.43282115901892	14.45222042780661	RPS6KA3;RIT1;MAP2K1;RALB;PTPN11;KRAS;AP2B1;PIK3R1;SOS1;FGF1;PRKACB;ARHGEF6
neurotrophin signaling pathway (GO:0038179)	12/278	0.00000319255323	0.00263066386412	-2.42989706515227	14.43484979250289	RPS6KA3;RIT1;MAP2K1;RALB;PTPN11;KRAS;AP2B1;PIK3R1;SOS1;FGF1;PRKACB;ARHGEF6
cellular response to insulin stimulus (GO:0032869)	9/195	0.00003500600188	0.01442247277353	-2.36313791705899	10.01726525288041	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;RHOQ
insulin receptor signaling pathway (GO:0008286)	8/148	0.00003338976635	0.01442247277353	-2.3113598678979	9.79777977597315	MAP2K1;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;RHOQ
cellular response to peptide hormone stimulus (GO:0071375)	10/261	0.00005826051981	0.01920266732846	-2.44156996747721	9.65080847042826	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
cellular response to peptide (GO:1901653)	10/273	0.00008361360039	0.02296586890582	-2.44468161269495	9.22560776479484	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
response to peptide hormone (GO:0043434)	11/364	0.00019102534169	0.03585315848803	-2.42786507715104	8.08072066532233	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;TRIM16;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
response to insulin (GO:0032868)	9/246	0.00019335102384	0.03585315848803	-2.36385377843762	7.86767034831928	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;RHOQ
ERBB signaling pathway (GO:0038127)	8/196	0.00021782420127	0.03585315848803	-2.35123474920374	7.82567013534773	MAP2K1;PTPN11;KRAS;AP2B1;PIK3R1;SOS1;FGF1;PRKACB
epidermal growth factor receptor signaling pathway (GO:0007173)	8/193	0.00019689726959	0.03585315848803	-2.34517147762156	7.80548960536909	MAP2K1;PTPN11;KRAS;AP2B1;PIK3R1;SOS1;FGF1;PRKACB
small GTPase mediated signal transduction (GO:0007264)	12/439	0.00023931113068	0.03585315848803	-2.3245686370182	7.7369166844952	RIT1;ARHGAP20;MAP2K1;RALB;RAB5C;DOCK7;RHOBTB3;RRAS2;KRAS;SOS1;RHOQ;ARHGEF6
response to peptide (GO:1901652)	11/384	0.00029866074914	0.04101607621477	-2.42151510758583	7.7338136081743	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;TRIM16;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
cellular response to hormone stimulus (GO:0032870)	12/462	0.00037601457418	0.04766707832739	-2.47513400221233	7.5331057330918	MAP2K1;AKR1C1;DENND4C;ATP6V1B2;AKR1C2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
fibroblast growth factor receptor signaling pathway (GO:0008543)	7/163	0.00040652071381	0.04785329545394	-2.31416719024069	7.03417798188437	MAP2K1;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB
cellular response to fibroblast growth factor stimulus (GO:0044344)	7/183	0.0007884577011	0.08662521942757	-2.3408016162886	5.72598531999628	MAP2K1;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB
response to fibroblast growth factor (GO:0071774)	7/187	0.0008910309998	0.0917761929791	-2.34225395453785	5.59424485102186	MAP2K1;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB
cellular response to organonitrogen compound (GO:0071417)	10/411	0.00188454400982	0.1725404737877	-2.52103747137212	4.42977403250043	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
Ras protein signal transduction (GO:0007265)	6/148	0.00141196824108	0.13687786242917	-2.12105086834201	4.21806231014139	RIT1;MAP2K1;RALB;RRAS2;KRAS;SOS1
cellular response to nitrogen compound (GO:1901699)	10/438	0.00295697114171	0.19015936389485	-2.50108195020088	4.15152792395136	MAP2K1;DENND4C;ATP6V1B2;PTPN11;KRAS;PIK3R1;SOS1;FGF1;PRKACB;RHOQ
positive regulation of glucose import (GO:0046326)	3/30	0.00222725532343	0.19015936389485	-2.37835475668839	3.94781393894803	PTPN11;PIK3R1;RHOQ
positive regulation of glucose transport (GO:0010828)	3/35	0.00334625094232	0.19015936389485	-2.36070697243716	3.9185205089151	PTPN11;PIK3R1;RHOQ
axon guidance (GO:0007411)	9/367	0.00301642608849	0.19015936389485	-2.35454508834446	3.90829244186878	SPTA1;RPS6KA3;MAP2K1;PTPN11;KRAS;AP2B1;SOS1;CD24;GLI3
neuron projection guidance (GO:0097485)	9/367	0.00301642608849	0.19015936389485	-2.35209408741661	3.90422404307329	SPTA1;RPS6KA3;MAP2K1;PTPN11;KRAS;AP2B1;SOS1;CD24;GLI3
epithelial cell differentiation (GO:0030855)	8/303	0.00331955149635	0.19015936389485	-2.33688776321118	3.87898317499441	MAP2K1;PCNA;PTER;AKR1C1;FNDC3B;AKR1C2;CD24;GLI3
positive regulation of small GTPase mediated signal transduction (GO:0051057)	3/35	0.00334625094232	0.19015936389485	-2.28062886105376	3.78559942830886	MAP2K1;KRAS;SOS1
regulation of fibroblast proliferation (GO:0048145)	4/75	0.0035665845278	0.1959243767274	-2.07317329637305	3.37932746862837	FTH1;FNDC3B;WAPAL;DDR2
aminoglycoside antibiotic metabolic process (GO:0030647)	2/9	0.00327095523704	0.19015936389485	-1.98922581433038	3.30190160885138	AKR1C1;AKR1C2
regulation of protein complex disassembly (GO:0043244)	4/80	0.00444394741844	0.22886329204977	-2.22294133268472	3.27801693692455	SPTA1;ASPH;EIF5A2;MID1
developmental growth involved in morphogenesis (GO:0060560)	4/79	0.00425795574932	0.2263584217703	-2.1415913804554	3.18162439319441	SLC12A2;RDH10;FGF1;DDR2
retinal metabolic process (GO:0042574)	2/14	0.00695441987076	0.30866142687501	-2.584381344457	3.03796691206013	RDH10;AKR1C1
doxorubicin metabolic process (GO:0044598)	2/8	0.00269014081106	0.19015936389485	-1.82225625300476	3.02475003601406	AKR1C1;AKR1C2
sequestering of metal ion (GO:0051238)	2/11	0.00459102302238	0.22927290729941	-2.04162262301718	3.00698805783427	SLC30A7;FTH1
polyketide metabolic process (GO:0030638)	2/8	0.00269014081106	0.19015936389485	-1.78428932075354	2.96172899849265	AKR1C1;AKR1C2
daunorubicin metabolic process (GO:0044597)	2/8	0.00269014081106	0.19015936389485	-1.72860904527087	2.86930571005901	AKR1C1;AKR1C2
