Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
GCM_MSN	3/28	0.0050193537087	0.41316867237602	-2.28021927895171	2.01548436521674	SMARCC1;DHX9;RHOA
GCM_DDX5	5/65	0.00113928488933	0.41316867237602	-2.12768653571803	1.88066077083312	SMARCC1;DHX9;COPB1;TCEA1;RAF1
GCM_ERBB2IP	4/64	0.00723271198908	0.41316867237602	-2.07975247887452	1.83829188858513	KIAA1109;CEP350;IMPAD1;SNX5
MORF_MBD4	5/86	0.00362991749928	0.41316867237602	-2.01592332875144	1.78187334353305	SPTLC1;BAG5;GMFB;MDH1;COPB1
MORF_PPP2CA	6/127	0.00391650576605	0.41316867237602	-1.99897294965091	1.76689091426541	GMFB;MDH1;EIF1AX;ZNF207;TCEA1;RAF1
MORF_CDC10	6/143	0.00678209109585	0.41316867237602	-1.99368920214953	1.76222061322152	SFSWAP;EIF1AX;PLIN3;TCEA1;ATP11B;KRAS
MODULE_124	5/96	0.00565694440127	0.41316867237602	-1.9732642416074	1.74416700363545	WEE1;SMARCC1;CDK6;TCEA1;SMC2
MORF_BECN1	5/101	0.00692359083835	0.41316867237602	-1.94423568376366	1.7185086798861	TMEM59;KIAA1109;SFSWAP;PLIN3;KRAS
GCM_BAG5	3/38	0.01097107626636	0.53557195376371	-2.18779412646672	1.36610247557337	SPTLC1;BAG5;ZNF644
GNF2_PPP6C	3/39	0.01171929876945	0.53557195376371	-2.18743484552178	1.3658781333547	KCMF1;PANK2;ZNF207
MORF_SP3	4/80	0.01494067120259	0.62071697632566	-1.95866487540393	0.9340482147735	BAG5;GMFB;MDH1;G3BP1
MODULE_252	7/237	0.02053561766427	0.64142440568328	-1.98707261479498	0.88238729797397	WEE1;CBX5;CCNE2;DHX9;SNRPA1;SMC2;TMPO
MORF_GMPS	3/53	0.02526398096783	0.64142440568328	-1.95604997112375	0.86861126054018	PTPN11;SNRPA1;LSM4
MODULE_198	8/303	0.02448581746631	0.64142440568328	-1.95510925018724	0.86819352029298	WEE1;SMARCC1;CBX5;CCNE2;DHX9;SNRPA1;SMC2;TMPO
MORF_RPA2	6/191	0.02411076933978	0.64142440568328	-1.91907580750723	0.85219236769977	SMARCC1;EBP;SFSWAP;EIF1AX;PLIN3;TCEA1
MORF_CDC2L5	5/140	0.02412851082315	0.64142440568328	-1.85700536830944	0.82462912380018	SFSWAP;CEP350;AGPS;FNTB;PAFAH1B1
MODULE_346	2/17	0.01909847277607	0.64142440568328	-1.85304379695511	0.82286993280884	UGCG;PLCD1
MODULE_408	2/18	0.02106572851552	0.64142440568328	-1.78257386440998	0.79157677678428	UGCG;PLCD1
MORF_AP2M1	6/217	0.04057378438209	0.68955661187034	-1.88255787497928	0.69975896003834	TMEM59;BAG5;GMFB;MDH1;CALR;CAPN1
MORF_FEN1	3/65	0.04147386338735	0.68955661187034	-1.86911351497191	0.69476160431177	PTPN11;SNRPA1;LSM4
MORF_PRKAG1	6/219	0.04207615225088	0.68955661187034	-1.85002827941856	0.68766749859507	EBP;SFSWAP;PLIN3;TCEA1;ATP11B;RAF1
MORF_PTPN11	4/108	0.03790639314035	0.68955661187034	-1.8261195758777	0.67878047857408	EID1;PTPN11;SNRPA1;LSM4
MODULE_57	3/56	0.02892063522393	0.68955661187034	-1.81866625341736	0.67601003032226	WEE1;CDK6;CCNE2
