Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
sulpiride-4566	8/100	0.00000183688565	0.00518001752769	-1.63279612503433	8.59331920496789	RIT1;IMPAD1;TMOD3;GDE1;PLA2G4A;ARID4A;GCLM;GABPA
cycloserine-3562	6/100	0.00017556194436	0.12377117077408	-1.6990509733098	3.54986256462719	C11ORF63;UBE2W;DENND4C;C10ORF118;ARID4A;TRIM16
sulfaphenazole-1673	6/100	0.00017556194436	0.12377117077408	-1.6608185119747	3.46998268734331	UBE2W;NFAT5;COL4A3BP;PTER;ZNF148;GLI3
captopril-4585	6/100	0.00017556194436	0.12377117077408	-1.60649064699856	3.35647434820312	UBE2W;COL4A3BP;PTER;FNDC3B;ZNF148;GLI3
domperidone-2655	5/100	0.0013726822715	0.32258033380134	-1.67962915467924	1.90033759333158	GDE1;ARID4A;PGD;GLI3;GABPA
clofazimine-1624	5/100	0.0013726822715	0.32258033380134	-1.67608923496162	1.89633251727177	LPGAT1;PCNA;UBE2NL;REV3L;GCLM
adiphenine-1709	5/100	0.0013726822715	0.32258033380134	-1.67545390291255	1.89561370063671	NFAT5;CLCN5;COL4A3BP;PTER;FNDC3B
valproic acid-1647	5/100	0.0013726822715	0.32258033380134	-1.6707913815635	1.89033850963719	PTER;FNDC3B;GDE1;PGD;GABPA
neostigmine bromide-6735	5/100	0.0013726822715	0.32258033380134	-1.66650306283038	1.88548669262863	UBE2W;COL4A3BP;PTER;FNDC3B;ZNF148
trichostatin A-4302	5/100	0.0013726822715	0.32258033380134	-1.6197766317669	1.83262026475985	COL4A3BP;FNDC3B;TRIM16;ZNF148;GABPA
meticrane-1834	5/100	0.0013726822715	0.32258033380134	-1.6180823920884	1.83070339677492	COL4A3BP;IMPAD1;UBE2NL;RNF141;GABPA
lorglumide-5254	5/100	0.0013726822715	0.32258033380134	-1.61341262315287	1.82542000583375	SENP7;CLCN5;FAM184A;UBE2NL;C10ORF118
3-hydroxy-DL-kynurenine-4681	3/100	0.0472909581576	0.55198999967169	-1.67676631693209	0.9963770505511	C11ORF63;CLCN5;FAM184A
S-propranolol-3523	4/100	0.00896672250089	0.55198999967169	-1.67168090374486	0.99335516912304	UBE2NL;C10ORF118;RNF141;GLI3
dioxybenzone-5699	4/100	0.00896672250089	0.55198999967169	-1.67105529712549	0.99298341781106	C10ORF118;LPXN;GLI3;GABPA
valproic acid-6173	4/100	0.00896672250089	0.55198999967169	-1.66694121300201	0.99053872473529	CLCN5;GDE1;RNF141;GABPA
doxazosin-6642	4/100	0.00896672250089	0.55198999967169	-1.65752270501905	0.98494200853824	C11ORF63;SENP7;CLCN5;REV3L
selegiline-2465	3/100	0.0472909581576	0.55198999967169	-1.65696650836305	0.98461150238599	COL4A3BP;UBE2NL;EIF5A2
chrysin-5505	4/100	0.00896672250089	0.55198999967169	-1.65601736168574	0.98404749537003	CLCN5;AKR1C2;GLI3;GABPA
promethazine-5317	4/100	0.00896672250089	0.55198999967169	-1.6471045223018	0.97875126027291	GCLM;SOS1;GLI3;GABPA
(+/-)-catechin-4837	4/100	0.00896672250089	0.55198999967169	-1.64621183935319	0.97822080543586	FAM184A;EIF5A2;C10ORF118;GABPA
betaxolol-5669	3/100	0.0472909581576	0.55198999967169	-1.64607612203329	0.97814015876402	CLCN5;C10ORF118;GLI3
hyoscyamine-2108	4/100	0.00896672250089	0.55198999967169	-1.64474229570404	0.97734756534747	RPS6KA3;RSF1;TRIM16;GABPA
ketanserin-3209	3/100	0.0472909581576	0.55198999967169	-1.64405658598094	0.97694009924768	CLCN5;RAB5C;GABPA
"11-deoxy-16,16-dimethylprostaglandin E2"-7519	4/100	0.00896672250089	0.55198999967169	-1.64117760530524	0.97522933594972	TMOD3;EIF5A2;REV3L;GABPA
etifenin-3998	4/100	0.00896672250089	0.55198999967169	-1.63872110802913	0.97376962299751	UBE2W;NFAT5;COL4A3BP;ZNF148
dobutamine-3206	3/100	0.0472909581576	0.55198999967169	-1.63667914779985	0.9725562384668	EIF5A2;C10ORF118;GLI3
nimodipine-3103	3/100	0.0472909581576	0.55198999967169	-1.635526140121	0.97187109207597	FAM184A;UBE2NL;PLA2G4A
meticrane-5984	3/100	0.0472909581576	0.55198999967169	-1.63533415099699	0.97175700727167	TMOD3;C10ORF118;TRIM16
folic acid-7201	3/100	0.0472909581576	0.55198999967169	-1.6325241717019	0.97008724634322	EIF5A2;SFRS16;TRIM16
SB-202190-7054	3/100	0.0472909581576	0.55198999967169	-1.63243537612845	0.97003448176256	TMOD3;C10ORF118;RSF1
cotinine-4650	4/100	0.00896672250089	0.55198999967169	-1.63037279295548	0.96880884255592	C11ORF63;PLA2G4A;TRIM16;GABPA
pyridoxine-5813	3/100	0.0472909581576	0.55198999967169	-1.62962085255294	0.96836202050749	C11ORF63;CLCN5;BANK1
betazole-5445	3/100	0.0472909581576	0.55198999967169	-1.62824867528493	0.96754663799096	SENP7;CLCN5;ARHGEF6
acetylsalicylic acid-1629	3/100	0.0472909581576	0.55198999967169	-1.62611284279463	0.96627747218314	C10ORF118;SFRS16;TRIM16
cyproheptadine-2021	4/100	0.00896672250089	0.55198999967169	-1.62507176298567	0.9656588361699	COL4A3BP;IMPAD1;UBE2NL;DLD
alpha-estradiol-1635	4/100	0.00896672250089	0.55198999967169	-1.62441068074756	0.96526600434598	DENND4C;TRIM16;GLI3;GABPA
irinotecan-7498	4/100	0.00896672250089	0.55198999967169	-1.62389762350369	0.96496113272597	RPS6KA3;FNDC3B;REV3L;EHBP1
tolazoline-4262	3/100	0.0472909581576	0.55198999967169	-1.6194206047851	0.96230077471362	FAM184A;PLA2G4A;GLI3
homatropine-1848	4/100	0.00896672250089	0.55198999967169	-1.61876029254539	0.96190840044226	IMPAD1;UBE2NL;TRIM16;RNF141
carbarsone-4110	3/100	0.0472909581576	0.55198999967169	-1.6175244085646	0.96117400685195	CLCN5;TRIM16;GLI3
pirinixic acid-487	3/100	0.0472909581576	0.55198999967169	-1.61612082222409	0.96033996026834	COL4A3BP;DENND4C;RNF141
