Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
vegf signaling pathway	5/68	0.00029475058558	0.00597450325204	-2.05212117625615	10.50738232272163	NFAT5;MAP2K1;PLA2G4A;KRAS;PIK3R1
renal cell carcinoma	5/69	0.00031424523494	0.00597450325204	-1.97509207317632	10.11297372473002	MAP2K1;PTPN11;KRAS;PIK3R1;SOS1
pancreatic cancer	5/73	0.00040219983497	0.00597450325204	-1.90327171877669	9.74523524468224	MAP2K1;RALB;KRAS;PIK3R1;ARHGEF6
fc epsilon ri signaling pathway	5/74	0.00042684307818	0.00597450325204	-1.86879509072657	9.56870614088844	MAP2K1;PLA2G4A;KRAS;PIK3R1;SOS1
chronic myeloid leukemia	5/75	0.00045261388273	0.00597450325204	-1.81225589945938	9.27921110242011	MAP2K1;PTPN11;KRAS;PIK3R1;SOS1
mapk signaling pathway	8/248	0.00091443238354	0.00791463158265	-1.78907737758473	8.65742081015356	RPS6KA3;MAP2K1;PLA2G4A;RRAS2;KRAS;SOS1;FGF1;PRKACB
natural killer cell mediated cytotoxicity	6/129	0.00072794583628	0.00791463158265	-1.68636503095099	8.16039143716625	NFAT5;MAP2K1;PTPN11;KRAS;PIK3R1;SOS1
endometrial cancer	4/52	0.00108543465879	0.00791463158265	-1.47521043096916	7.1386054311802	MAP2K1;KRAS;PIK3R1;SOS1
non small cell lung cancer	4/53	0.00116053779936	0.00791463158265	-1.46893672976448	7.10824672671799	MAP2K1;KRAS;PIK3R1;SOS1
regulation of actin cytoskeleton	7/201	0.00131910526377	0.00791463158265	-1.45443515911563	7.03807301534686	MAP2K1;RRAS2;KRAS;PIK3R1;SOS1;FGF1;ARHGEF6
gnrh signaling pathway	5/96	0.00131703852261	0.00791463158265	-1.41466534373883	6.84562520309858	MAP2K1;PLA2G4A;KRAS;SOS1;PRKACB
glioma	4/62	0.00200878655871	0.01030204945158	-1.24929252430671	5.71602854149316	MAP2K1;KRAS;PIK3R1;SOS1
long term potentiation	4/67	0.00263003971828	0.01239875867188	-0.97285011461351	4.2709666070229	RPS6KA3;MAP2K1;KRAS;PRKACB
melanoma	4/71	0.00321390223678	0.01414116984185	-1.0009789682099	4.26283398667497	MAP2K1;KRAS;PIK3R1;FGF1
colorectal cancer	4/84	0.00571466342252	0.02269347410337	-1.03961618659592	3.93565200155599	MAP2K1;KRAS;PIK3R1;SOS1
erbb signaling pathway	4/85	0.00594871996424	0.02269347410337	-1.01013612705651	3.82404999224894	MAP2K1;KRAS;PIK3R1;SOS1
prostate cancer	4/86	0.00618912930092	0.02269347410337	-0.97400533082594	3.68727043616271	MAP2K1;KRAS;PIK3R1;SOS1
gap junction	4/90	0.00721580704169	0.02506543498692	-0.84871055688034	3.12857242329977	MAP2K1;KRAS;SOS1;PRKACB
acute myeloid leukemia	3/52	0.01034050935922	0.03412368088543	-0.43069816649412	1.45479662451395	MAP2K1;KRAS;SOS1
dorso ventral axis formation	3/28	0.00202919155864	0.01030204945158	-0.31416188718869	1.43742020293963	MAP2K1;KRAS;SOS1
long term depression	3/73	0.0246206928807	0.07065068391854	-0.42466236501304	1.12535844780299	MAP2K1;PLA2G4A;KRAS
jak stat signaling pathway	4/148	0.0360712339025	0.09156543990635	-0.4548715158558	1.08746195708293	IL10RB;PTPN11;PIK3R1;SOS1
hedgehog signaling pathway	3/57	0.01311296233996	0.04121216735417	-0.31659745803385	1.00963617716224	CSNK1A1;PRKACB;GLI3
b cell receptor signaling pathway	3/62	0.01627334851395	0.04882004554185	-0.30161076825555	0.91074818317773	NFAT5;KRAS;PIK3R1
focal adhesion	4/192	0.07797986032959	0.17747140626733	-0.36898699569175	0.63795850704483	MAP2K1;CAV2;PIK3R1;SOS1
melanogenesis	3/100	0.05325383704745	0.12552690161185	-0.27420696145555	0.56904393518194	MAP2K1;KRAS;PRKACB
tight junction	3/131	0.09939758913134	0.21162067363446	-0.10679499820024	0.1658483478336	RRAS2;KRAS;MPDZ
cytokine cytokine receptor interaction	1/247	0.88352088809266	0.88352088809266	1.8661532763154	-0.23110506568374	IL10RB
toll like receptor signaling pathway	2/99	0.20582071599885	0.36713965556552	0.32891613761715	-0.32957823607802	MAP2K1;PIK3R1
apoptosis	2/81	0.15173940731525	0.28613716808019	0.32648276248043	-0.40852264863107	PIK3R1;PRKACB
calcium signaling pathway	1/169	0.76732669578372	0.7791317218727	1.90160719522949	-0.4745939132113	PRKACB
glycerophospholipid metabolism	2/62	0.09894197141365	0.21162067363446	0.33583586559758	-0.52153962630528	PLA2G4A;AGPAT2
leukocyte transendothelial migration	2/110	0.23991690620849	0.37701228118478	0.56126238776257	-0.54749883982638	PTPN11;PIK3R1
metabolism of xenobiotics by cytochrome p450	2/70	0.12046415121077	0.24092830242154	0.39603692579756	-0.56366188733017	AKR1C1;AKR1C2
cell adhesion molecules	1/133	0.68137736285323	0.70267040544239	1.86289980432892	-0.65735649335843	NEGR1
epithelial cell signaling in helicobacter pylori infection	2/65	0.10687402413302	0.22042767477436	0.43475877539668	-0.65743597852281	ATP6V1B2;PTPN11
axon guidance	2/126	0.29002019454921	0.40086505805309	0.83060835177899	-0.75928436303899	NFAT5;KRAS
oxidative phosphorylation	2/126	0.29002019454921	0.40086505805309	0.84487864582078	-0.77232927295194	PPA1;ATP6V1B2
cell cycle	1/104	0.59046407201149	0.61858140877395	1.95504351188664	-0.93905915441975	PCNA
small cell lung cancer	1/85	0.51776915396785	0.56020924855538	1.86112319489742	-1.07841835641752	PIK3R1
hematopoietic cell lineage	1/88	0.53002542076111	0.56422060919731	1.95513887833931	-1.11894543938443	CD24
phosphatidylinositol signaling system	1/72	0.46098523442346	0.50708375786581	2.14836199407758	-1.45890769964537	PIK3R1
adipocytokine signaling pathway	1/71	0.45635849823867	0.50708375786581	2.15755511186018	-1.46515055366799	PTPN11
complement and coagulation cascades	1/69	0.44698932727835	0.50708375786581	2.35439034342679	-1.59881724284125	C9
bladder cancer	2/40	0.04727941665582	0.1155719073809	0.74154410450986	-1.60015011734382	MAP2K1;KRAS
glycolysis and gluconeogenesis	1/63	0.41793364687525	0.48392317006608	2.30766032885986	-1.67496707590631	DLD
basal cell carcinoma	1/55	0.37688354341069	0.44418417616259	2.54028343001425	-2.0614806261025	GLI3
glycerolipid metabolism	1/55	0.37688354341069	0.44418417616259	2.55674097081918	-2.07483618364455	AGPAT2
arachidonic acid metabolism	1/51	0.35532032104929	0.43428039239358	2.73621645100619	-2.28218206794147	PLA2G4A
taste transduction	1/49	0.34426936380197	0.42871279265906	2.73085063114134	-2.31294327551118	PRKACB
thyroid cancer	2/29	0.02702237376362	0.07431152784997	0.96885645922062	-2.51853188904832	MAP2K1;KRAS
valine leucine and isoleucine degradation	1/44	0.31583307604183	0.40086505805309	2.7838931294039	-2.54484140088505	DLD
type ii diabetes mellitus	1/42	0.30412718389837	0.40086505805309	2.88514335869551	-2.63739731570408	PIK3R1
pyruvate metabolism	1/41	0.29820171021281	0.40086505805309	2.88714046810827	-2.63922293417412	DLD
porphyrin and chlorophyll metabolism	1/41	0.29820171021281	0.40086505805309	2.93284724836444	-2.68100489249304	FTH1
linoleic acid metabolism	1/31	0.23619397345371	0.37701228118478	2.78947442683537	-2.7210695847729	PLA2G4A
glycine serine and threonine metabolism	1/44	0.31583307604183	0.40086505805309	3.01329648007397	-2.75454598261658	DLD
alanine and aspartate metabolism	1/33	0.24900558914869	0.38219462520496	3.06307677153807	-2.94614476551058	DLD
ether lipid metabolism	2/30	0.028675435065	0.0757031485716	1.14832884914659	-2.96376272303738	PLA2G4A;AGPAT2
glutathione metabolism	1/37	0.27400723511977	0.40086505805309	3.2922082849081	-3.00950774844035	GCLM
glutamate metabolism	1/30	0.22970901912863	0.37701228118478	3.1337353477662	-3.05688837277073	GCLM
sphingolipid metabolism	1/36	0.26783349914484	0.40086505805309	3.36904773896985	-3.07974903099979	ASAH1
olfactory transduction	1/31	0.23619397345371	0.37701228118478	3.18427451964777	-3.10618819861734	PRKACB
citrate cycle	1/28	0.21657871258493	0.3761630271212	3.3075433622542	-3.23389312595921	DLD
dna polymerase	1/24	0.18966451507008	0.34771827762848	3.62699034643364	-3.83141722133861	REV3L
alpha linolenic acid metabolism	1/15	0.12579215055609	0.24418476284418	5.33692075558751	-7.52415160509218	PLA2G4A

