Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
5155877-6549	7/100	0.00002474471779	0.02114436134771	-1.74040642252823	6.71167202137205	COBLL1;FTH1;AKR1C1;AKR1C2;TRIM16;GCLM;MID1
5182598-976	7/100	0.00002474471779	0.02114436134771	-1.72194905264607	6.64049335217003	RIT1;AKR1C1;LPXN;AKR1C2;TRIM16;GCLM;RHOQ
15-delta prostaglandin J2-6990	7/100	0.00002474471779	0.02114436134771	-1.65259935779502	6.37305443641017	RIT1;AKR1C1;C10ORF118;NMT2;AKR1C2;PTPN11;GCLM
5155877-6574	7/100	0.00002474471779	0.02114436134771	-1.61445355871391	6.22594966300116	RAB5C;AKR1C1;PPIF;AKR1C2;TRIM16;GCLM;RHOQ
nifuroxazide-4835	6/100	0.00021490879716	0.06677802442675	-1.68632225676476	4.56383090042308	FTH1;AKR1C1;AKR1C2;KRAS;GCLM;MID1
15-delta prostaglandin J2-6190	6/100	0.00021490879716	0.06677802442675	-1.68580103017841	4.56242026257413	SPTA1;RIT1;FTH1;TRIM16;GCLM;PGD
myricetin-1334	6/100	0.00021490879716	0.06677802442675	-1.68447377973818	4.55882821689755	RIT1;IMPAD1;FTH1;PTPN11;GCLM;PGD
5155877-6569	6/100	0.00021490879716	0.06677802442675	-1.66760087940814	4.51316371617885	AKR1C1;GDE1;AKR1C2;TRIM16;ZNF148;MPDZ
mefloquine-1364	6/100	0.00021490879716	0.06677802442675	-1.66003394391426	4.49268470400313	NFAT5;ASAH1;COL4A3BP;FTH1;RHOBTB3;GCLM
ethoxyquin-3421	6/100	0.00021490879716	0.06677802442675	-1.65540117378115	4.48014666188026	C11ORF63;ASPH;AKR1C1;NMT2;SVEP1;MID1
etacrynic acid-1565	6/100	0.00021490879716	0.06677802442675	-1.64582545976595	4.4542311292228	RIT1;FTH1;GCLM;PGD;SOS1;RHOQ
STOCK1N-35215-6422	5/100	0.0016051975154	0.14438329230603	-1.74264888389434	3.37252009042906	AKR1C1;AKR1C2;TRIM16;GCLM;ARHGEF6
F0447-0125-6401	5/100	0.0016051975154	0.14438329230603	-1.71196855971226	3.3131449571815	AKR1C1;NMT2;AKR1C2;TRIM16;GCLM
etacrynic acid-3181	5/100	0.0016051975154	0.14438329230603	-1.70695920024077	3.30345042513093	AKR1C1;NMT2;AKR1C2;TCF4;GCLM
15-delta prostaglandin J2-446	5/100	0.0016051975154	0.14438329230603	-1.69107103742871	3.27270232160939	AKR1C1;PBX2;AKR1C2;TRIM16;GCLM
5194442-6553	5/100	0.0016051975154	0.14438329230603	-1.68995522671313	3.27054291124842	AKR1C1;AKR1C2;TRIM16;PIK3R1;GCLM
carmustine-6888	5/100	0.0016051975154	0.14438329230603	-1.68437801956393	3.25974943280708	USP48;AKR1C1;AKR1C2;TRIM16;GCLM
15-delta prostaglandin J2-5228	5/100	0.0016051975154	0.14438329230603	-1.68368121118501	3.2584009108651	RIT1;AKR1C1;AKR1C2;TRIM16;GCLM
5194442-6599	5/100	0.0016051975154	0.14438329230603	-1.67984895235566	3.25098440257525	AKR1C1;AKR1C2;TRIM16;GCLM;SCAMP1
alprostadil-6571	5/100	0.0016051975154	0.14438329230603	-1.66757051754741	3.22722214705001	GDE1;PPIF;TMED2;ZNF148;GABPA
5194442-6558	5/100	0.0016051975154	0.14438329230603	-1.66100673505696	3.21451936536931	AKR1C1;NMT2;AKR1C2;GCLM;GABPA
securinine-6831	5/100	0.0016051975154	0.14438329230603	-1.65807318021031	3.20884210430535	NFAT5;RIT1;AKR1C1;AKR1C2;GCLM
STOCK1N-35215-6380	5/100	0.0016051975154	0.14438329230603	-1.65742664678573	3.2075908786662	CAV2;AKR1C1;AKR1C2;TRIM16;GCLM
5151277-903	5/100	0.0016051975154	0.14438329230603	-1.65493472432751	3.20276830159299	AKR1C1;PBX2;AKR1C2;GCLM;GLI3
15-delta prostaglandin J2-6948	5/100	0.0016051975154	0.14438329230603	-1.65451899817743	3.20196375352469	RIT1;FTH1;AKR1C1;AKR1C2;GCLM
