Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MODULE_86	5/43	0.00008432525057	0.03195926996628	-2.37662510486614	8.18341658828237	RIT1;RALB;RAB5C;KRAS;RHOQ
MODULE_239	7/120	0.00019186703576	0.03635880327637	-1.96458811193548	6.51127155608548	LPGAT1;TMOD3;RHOBTB3;TMED2;AP2B1;PIK3R1;SOS1
MODULE_311	3/18	0.00096183418872	0.08818753647846	-2.22393558610527	5.40035973425414	FTH1;AKR1C1;AKR1C2
MODULE_568	5/73	0.00083177235586	0.08818753647846	-2.03028158715836	4.93011173569513	ASAH1;RYBP;LAMP2;ATP6V1B2;RHOQ
MODULE_491	5/79	0.0011634239641	0.08818753647846	-1.97990030162958	4.80777138221121	ASAH1;RYBP;LAMP2;ATP6V1B2;RHOQ
MODULE_87	3/44	0.00982374535086	0.53896048458298	-2.1791772245365	1.34697782239618	RIT1;RALB;RAB5C
GCM_AQP4	3/45	0.01040795308847	0.53896048458298	-2.14682794254797	1.32698230990716	FMNL2;RNF141;HIPK2
MODULE_166	3/54	0.0165686383848	0.53896048458298	-1.96300015580758	1.21335596089273	PLEKHB2;NMT2;RSF1
MODULE_277	3/55	0.01735499171323	0.53896048458298	-1.93802504948268	1.19791852241694	NUFIP2;CSNK1A1;MIB1
MODULE_439	2/21	0.01965957945469	0.53896048458298	-1.93610526809591	1.19673188054004	PCNA;LRRN3
MODULE_188	5/141	0.01230959514105	0.53896048458298	-1.91766821349783	1.1853356969831	SMCHD1;BANK1;C10ORF118;IRF8;CD24
MODULE_361	5/151	0.01600506554033	0.53896048458298	-1.90366708668998	1.17668141816337	SMCHD1;BANK1;C10ORF118;IRF8;CD24
MODULE_492	2/17	0.0136163551335	0.53896048458298	-1.89642872662626	1.17220729354122	ASAH1;ATP6V1B2
MODULE_301	5/160	0.01990883056507	0.53896048458298	-1.86762938569714	1.15440604585269	SMCHD1;BANK1;C10ORF118;IRF8;CD24
