Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
5155877-6574	16/100	0.00000165837218	0.00981756329851	-1.61445355871391	7.46455893701204	APP;RAB5C;AKR1C1;IREB2;CREM;AKR1C3;AKR1C2;N4BP2L2;HERC4;TMEM57;PPIF;PIM1;TRIM16;GCLM;RHOQ;CBR3
PNU-0293363-6573	15/100	0.00000708554226	0.01398213671662	-1.67462019352994	7.15058588007653	EDEM3;APP;SEC23A;RAB5C;YIPF5;RHOBTB3;PGD;TANK;SNX3;HERC4;NNT;PPIF;TMED2;TSPAN3;PICALM
BW-B70C-1132	15/100	0.00000708554226	0.01398213671662	-1.67138666490241	7.13677879460358	JUN;PCOLCE2;AKR1C1;FN1;FNDC3B;CREM;AKR1C3;RAB7L1;AKR1C2;ATP2B1;ARFGAP3;NFIL3;DDIT4;ST3GAL5;CD44
5155877-6549	14/100	0.00002861927306	0.03388521930177	-1.73929101533213	5.88711112659273	SYNM;TMF1;AKR1C1;AKR1C3;AKR1C2;N4BP2L2;MID1;LYST;IKBKB;COBLL1;FTH1;TRIM16;GCLM;CBR3
hydroflumethiazide-1809	14/100	0.00002861927306	0.03388521930177	-1.66703113362234	5.64252758659281	APP;JUN;PCID2;PRKAA1;ELOVL5;ITGA2;PBX2;FOXO1;RBM3;MMP14;NNT;RB1CC1;CASKIN2;TCF4
5182598-976	13/100	0.00010885876582	0.06444438936271	-1.71972088555499	4.71539316631082	ITGB1;AKR1C1;AKR1C3;AKR1C2;N4BP2L2;RIT1;DDIT4;ST3GAL5;LPXN;TRIM16;GCLM;RHOQ;CBR3
sulfathiazole-1883	13/100	0.00010885876582	0.06444438936271	-1.66887473831314	4.57597544029997	RECQL;ARID4A;PPP2R3A;NUDT4;KTN1;PPM1B;SIPA1L1;STAG2;CCPG1;ZC3H7B;SUB1;DEGS1;RHOQ
15-delta prostaglandin J2-6948	13/100	0.00010885876582	0.06444438936271	-1.66670591777849	4.57002863717978	CDKN1A;AKR1C1;CREM;AKR1C3;AKR1C2;N4BP2L2;RIT1;NFIL3;FTH1;DDIT4;PIM1;GCLM;CBR3
haloperidol-2039	13/100	0.00010885876582	0.06444438936271	-1.65987652568017	4.5513027677082	MEF2A;RECQL;RAB7L1;PBX2;ACSL4;LPP;PPM1B;STAG2;C6;CCPG1;ZC3H7B;DMXL1;CRY1
15-delta prostaglandin J2-6990	13/100	0.00010885876582	0.06444438936271	-1.64375260880701	4.50709175179481	CDKN1A;AKR1C1;AKR1C3;AKR1C2;PTPN11;RIT1;AKR1B10;DDIT4;C10ORF118;NMT2;GCLM;CD44;CBR3
verapamil-1927	12/100	0.00038823861585	0.09193490423267	-1.6953647477757	4.04628383725097	TIA1;PPM1B;SLK;CCPG1;FDX1;ACSL4;PPP2R3A;ATP2B1;ARFGAP3;N4BP2L2;RHOQ;KTN1
15-delta prostaglandin J2-5228	12/100	0.00038823861585	0.09193490423267	-1.68479012293397	4.02104564963487	RIT1;UCHL1;AKR1B10;RB1CC1;AKR1C1;CREM;AKR1C3;AKR1C2;TRIM16;GCLM;FGFR1;CBR3
ursolic acid-7181	12/100	0.00038823861585	0.09193490423267	-1.68463383587584	4.0206726432962	PROSC;KITLG;HMGCS1;LPXN;AKR1C2;DEGS1;TANK;CD44;SOX4;GABPA;RHOQ;QKI
15-delta prostaglandin J2-1656	12/100	0.00038823861585	0.09193490423267	-1.67242656163793	3.9915378529742	CDKN1A;RIT1;JUN;AKR1B10;AKR1C1;DDIT4;PIM1;CREM;AKR1C3;AKR1C2;GCLM;CBR3
nifuroxazide-4835	12/100	0.00038823861585	0.09193490423267	-1.67185151876859	3.99016541281288	ATF6B;FZD7;FTH1;CXORF21;AKR1C1;DDIT4;CREM;AKR1C3;AKR1C2;KRAS;GCLM;MID1
dyclonine-7022	12/100	0.00038823861585	0.09193490423267	-1.66777645164356	3.98043955395841	MEF2A;HMGCS1;ELOVL5;STK17B;FZD7;AKR1C1;C10ORF118;AKR1C3;AKR1C2;LYST;SOX4;LRP6
